종목코드,종목명,재무제표종류,유동자산_2023,유동자산_2022,유동부채_2023,유동부채_2022,부채총계_2023,부채총계_2022,자본총계_2023,자본총계_2022,매출액_2023,매출액_2022,영업이익_2023,영업이익_2022,당기순이익_2023,당기순이익_2022
000020,동화약품,CFS,235656852461.0,227527470560.0,81825572591.0,75562338929.0,90032643620.0,82463208091.0,386957620134.0,378673250961.0,99419813769.0,85294133984.0,12182552140.0,9053120555.0,12933680930.0,5801167250.0
000040,KR모터스,CFS,55348937288.0,60741213420.0,93198317951.0,93561448025.0,109034719505.0,109161230426.0,34965327789.0,40024015157.0,16633515826.0,29150539327.0,-2883785150.0,-1352668157.0,-5150253111.0,-3055328173.0
000050,경방,CFS,136053869697.0,149882373163.0,191577166528.0,199537522037.0,486249085748.0,493309854178.0,750038166785.0,755008459357.0,91522947115.0,96786200686.0,-3165745053.0,18642739078.0,-3864550839.0,15128919424.0
000070,삼양홀딩스,CFS,1715110000000.0,1747899000000.0,885839000000.0,754977000000.0,2000645000000.0,2024270000000.0,2549109000000.0,2523511000000.0,795237000000.0,822297000000.0,7389000000.0,49503000000.0,30026000000.0,51190000000.0
000080,하이트진로,CFS,1133601206417.0,1054944220365.0,1782873013861.0,1538466820626.0,2292509762382.0,2172409936540.0,1119747697711.0,1161028374847.0,603474656497.0,583675324450.0,38695022647.0,58092180236.0,21973525914.0,37079236731.0
000087,하이트진로2우B,,,,,,,,,,,,,,,
000100,유한양행,CFS,1204330991598.0,1188897717371.0,445654219357.0,434154259039.0,494289258154.0,464921702703.0,1995580816143.0,2007806369446.0,443047818557.0,410853261385.0,22630010546.0,6101960508.0,22278211541.0,16069140855.0
000105,유한양행우,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2999249312400.0,2956459492592.0,2788331160028.0,3108759801795.0,5730470400320.0,5658991479602.0,4124874168043.0,4034308338662.0,2807819702823.0,2856952867961.0,99035819179.0,75661609962.0,48420730647.0,31531533077.0
000140,하이트진로홀딩스,CFS,1154338463734.0,1071001299628.0,2182384765973.0,1953602947964.0,2884483785180.0,2779584712819.0,1147924347166.0,1165416251848.0,600749724375.0,580781544681.0,45399824641.0,61534704424.0,21764994907.0,35256070125.0
000145,하이트진로홀딩스우,,,,,,,,,,,,,,,
000150,두산,CFS,10019887992852.0,9526315384836.0,10299384622182.0,9478485386427.0,16577778713157.0,16017536857154.0,10622474755638.0,10297815766057.0,4351122205209.0,3343434442389.0,338180920923.0,186205343933.0,114677740094.0,14831331616.0
000155,두산우,,,,,,,,,,,,,,,
000157,두산2우B,,,,,,,,,,,,,,,
000180,성창기업지주,CFS,74291347947.0,94243757784.0,122094721245.0,135617637519.0,210838637838.0,224541467009.0,588175973340.0,595772787956.0,45390385669.0,53012442231.0,-6002490238.0,-1324349498.0,-6827349138.0,-2054886625.0
000210,DL,CFS,2986392292690.0,3002744413405.0,2660905400202.0,2323118787433.0,7507553883969.0,7400026570103.0,4770936054437.0,4751010595908.0,1287368068133.0,883116562114.0,69029632177.0,32261385587.0,-23640065487.0,108270277500.0
000215,DL우,,,,,,,,,,,,,,,
000220,유유제약,CFS,97504991539.0,96357746320.0,67261553850.0,64315528099.0,75838636596.0,71831031376.0,120737924215.0,123374041412.0,34293848023.0,35526188981.0,1972817120.0,572161000.0,458159942.0,-72931206.0
000225,유유제약1우,,,,,,,,,,,,,,,
000227,유유제약2우B,,,,,,,,,,,,,,,
000230,일동홀딩스,CFS,331637039339.0,357916641920.0,535959199713.0,526724128430.0,694565067672.0,693452985420.0,143447448461.0,169100181474.0,154054946269.0,168076353849.0,-21171455965.0,-15588993462.0,-22405476295.0,-128338900881.0
000240,한국앤컴퍼니,CFS,613515484288.0,531357795700.0,390126001532.0,285271955522.0,554855481213.0,445377543909.0,3923413331119.0,3856441131880.0,229423605644.0,269795958448.0,32474591136.0,44036702815.0,32363005473.0,39851966905.0
000270,기아,CFS,37357366000000.0,34147147000000.0,28363400000000.0,25377803000000.0,37581078000000.0,34367884000000.0,40031578000000.0,39343081000000.0,23690660000000.0,18357236000000.0,2873972000000.0,1606480000000.0,2119847000000.0,1032582000000.0
000300,DH오토넥스,CFS,223463402364.0,244993953070.0,321113510844.0,330733362911.0,419989474895.0,431957816260.0,113126671200.0,111252460593.0,131684914514.0,119275094771.0,3640882564.0,6066718243.0,-1084294962.0,3517636111.0
000320,노루홀딩스,CFS,589867048655.0,583742767450.0,379947233004.0,367016107664.0,518943732888.0,511163923981.0,657843867389.0,660825453997.0,274756779509.0,227649643153.0,8497098410.0,5126783832.0,5187818920.0,2945098118.0
000325,노루홀딩스우,,,,,,,,,,,,,,,
000370,한화손해보험,,,,,,,,,,,,,,,
000390,SP삼화,CFS,311535743933.0,288113092021.0,251576169209.0,225145199247.0,313056125788.0,287461316451.0,295570998438.0,299724957682.0,139665936940.0,149577216567.0,3083382503.0,2301434292.0,429722943.0,960767982.0
000400,롯데손해보험,,,,,,,,,,,,,,,
000430,대원강업,CFS,388078288563.0,380159612604.0,372878409295.0,376914805040.0,408086512118.0,412406943010.0,599618369747.0,598011882328.0,274971099966.0,234182377795.0,10744647935.0,3149378757.0,10148960539.0,663261029.0
000480,CR홀딩스,CFS,439003967639.0,460349348857.0,646238242741.0,551300891815.0,745704353939.0,793378121821.0,824759037841.0,827063930862.0,191368383078.0,197392624243.0,5449483098.0,9162784366.0,3226502995.0,14969056005.0
000490,대동,CFS,1221148143456.0,1048975028464.0,1057622431597.0,925269813878.0,1403135556525.0,1241782449283.0,492552017461.0,471990756298.0,400851987137.0,356833174254.0,33712335832.0,21560601875.0,21948821294.0,12557378720.0
000500,가온전선,CFS,507239691890.0,491767369545.0,337545556055.0,319323694193.0,458920671907.0,449261889191.0,310768709275.0,303070555819.0,376042455305.0,333158174715.0,14126580315.0,6198518099.0,8779036335.0,3852777425.0
000520,삼일제약,CFS,75591547754.0,74781467488.0,157469079566.0,132592028750.0,230597000665.0,230880901101.0,129298868768.0,125819595538.0,45739832341.0,45850300778.0,1563474308.0,2347482522.0,707415588.0,335803412.0
000540,흥국화재,,,,,,,,,,,,,,,
000545,흥국화재우,,,,,,,,,,,,,,,
000590,CS홀딩스,CFS,223092128845.0,213280099039.0,26951029612.0,22982072997.0,37656971077.0,33693421213.0,335576972259.0,330428149572.0,42192859377.0,44342151518.0,3535684019.0,3631007372.0,6331719089.0,4070259579.0
000640,동아쏘시오홀딩스,CFS,479330078884.0,338341608434.0,653227667856.0,566085715566.0,869526672634.0,732791277454.0,1001040328137.0,998660789749.0,255542161049.0,223260404247.0,16484296132.0,-2001396752.0,9670575723.0,-4566615413.0
000650,천일고속,CFS,8190156220.0,9480877874.0,17542477659.0,18006556086.0,27832085842.0,28229905515.0,25047029032.0,26615752815.0,10417672752.0,7271415631.0,-1573415980.0,-3168442792.0,-1541480435.0,-4054233339.0
000660,SK하이닉스,CFS,28834021000000.0,28733332000000.0,17276137000000.0,19843696000000.0,43376074000000.0,40580970000000.0,61008534000000.0,63290542000000.0,5088111000000.0,12155653000000.0,-3402302000000.0,2863897000000.0,-2585491000000.0,1987210000000.0
000670,영풍,CFS,1616921060153.0,1747077425369.0,819544784687.0,925918930294.0,1353871699370.0,1468547025489.0,4407878533332.0,4403386626977.0,890690766898.0,1059182052075.0,-28278643908.0,50175021419.0,49072643.0,80017090554.0
000680,LS네트웍스,CFS,299485673400.0,282285964979.0,195799124720.0,210966610920.0,757975170330.0,748565972243.0,566921239248.0,551876482818.0,87068083816.0,83981889754.0,1557042920.0,487456406.0,15044756430.0,6596346124.0
000700,유수홀딩스,CFS,321071827424.0,314536587203.0,74380147474.0,63779943527.0,87970445535.0,79255169817.0,435074201138.0,445670895055.0,,,4453786522.0,8167237636.0,7243587598.0,10992138724.0
000720,현대건설,CFS,16261072000000.0,15516744000000.0,9220818000000.0,8757397000000.0,11600487000000.0,10987431000000.0,10093243000000.0,9924277000000.0,6031081000000.0,4145303000000.0,173512000000.0,171481000000.0,150552000000.0,183108000000.0
000725,현대건설우,,,,,,,,,,,,,,,
000760,이화산업,CFS,47609313708.0,48156421369.0,27061764909.0,27876430288.0,33891675209.0,34707840588.0,233699670883.0,233780478065.0,11051185887.0,14391303714.0,15756494.0,450974040.0,-96677623.0,783037111.0
000810,삼성화재,,,,,,,,,,,,,,,
000815,삼성화재우,,,,,,,,,,,,,,,
000850,화천기공,CFS,204249363886.0,204833126801.0,82236525019.0,85246377720.0,126454419695.0,128766812502.0,346604317115.0,345265803434.0,61391798904.0,54940919076.0,3753184495.0,1608600552.0,5975693227.0,3368253926.0
000860,강남제비스코,CFS,317159174633.0,318471402195.0,165563055330.0,190999008997.0,280632208103.0,278945532072.0,676489669457.0,678845782760.0,149366888763.0,163898972598.0,-139328284.0,3842819371.0,237477129.0,4342899862.0
000880,한화,CFS,22167998000000.0,22353201000000.0,21094654000000.0,21094631000000.0,167573242000000.0,162584110000000.0,34281065000000.0,33632889000000.0,14402415000000.0,10849688000000.0,1373780000000.0,1052091000000.0,1155273000000.0,682143000000.0
00088K,한화3우B,,,,,,,,,,,,,,,
000890,보해양조,CFS,54556585766.0,57906204735.0,47982386803.0,49381850760.0,60631831135.0,64936220688.0,82486170139.0,82456280259.0,22027801004.0,20280026405.0,468216006.0,475429145.0,117100563.0,109106096.0
000910,유니온,CFS,146643368709.0,140428558016.0,146130625983.0,132962186534.0,213801614057.0,201552927080.0,181947630307.0,174558796250.0,52628202436.0,54565059478.0,-1922204073.0,629688066.0,10120814731.0,2357025582.0
000950,전방,CFS,157560953966.0,183763559312.0,66111073248.0,85022926184.0,75191500284.0,94123353220.0,201072341386.0,210657995414.0,20111270592.0,33673981333.0,-10488641013.0,4387542875.0,-8446184028.0,2305402599.0
000970,한국주철관,CFS,239733764266.0,233007687015.0,68536029027.0,57454236920.0,84480953432.0,73948278772.0,345365787617.0,350660350544.0,98013590985.0,118767879412.0,2685470950.0,4026580424.0,3311205193.0,3408506222.0
000990,DB하이텍,CFS,1251214254058.0,1327724119744.0,356118490222.0,404353962296.0,438620257814.0,484416396415.0,1657910437799.0,1638284078393.0,298167417121.0,395024842725.0,82980879329.0,181544900393.0,76358431703.0,158684674713.0
001020,페이퍼코리아,CFS,260372034778.0,249090738796.0,433455212087.0,410999661424.0,450375411977.0,440215219986.0,62118350482.0,61614925476.0,103096877310.0,101516812878.0,6272645704.0,5998509229.0,496326188.0,-3426311526.0
001040,CJ,CFS,14956819888000.0,15143819806000.0,15879627425000.0,16950325414000.0,31043617243000.0,30506774819000.0,17874003002000.0,17733633488000.0,9777443903000.0,9117963877000.0,329343493000.0,497813404000.0,11721519000.0,205633524000.0
001045,CJ우,,,,,,,,,,,,,,,
00104K,CJ4우(전환),,,,,,,,,,,,,,,
001060,JW중외제약,CFS,418799828712.0,425457063858.0,387656876414.0,380131098057.0,437385403795.0,402213719428.0,233700922877.0,225759035573.0,173383298754.0,156341121486.0,20324016175.0,13322625416.0,15405516126.0,9445749938.0
001065,JW중외제약우,,,,,,,,,,,,,,,
001067,JW중외제약2우B,,,,,,,,,,,,,,,
001070,대한방직,CFS,93424591490.0,99100925561.0,58512725145.0,61689419718.0,71395450031.0,75392116742.0,133339916908.0,135247441132.0,36017778114.0,49856719852.0,-2521087664.0,-997424106.0,-2038604951.0,-1387812768.0
001080,만호제강,CFS,144422004973.0,150928400703.0,21699456738.0,21979564954.0,22031488563.0,22325402295.0,251917917908.0,257656264538.0,37786241742.0,55438539576.0,-5636803563.0,-460993952.0,-5660896133.0,697647390.0
001120,LX인터내셔널,CFS,4384270462501.0,4482204749190.0,2995686330321.0,2935026255683.0,5256121607756.0,4682532060717.0,3105519413792.0,3036475272912.0,3699915384072.0,4918114586110.0,161732038640.0,245713763096.0,156377016149.0,223147182929.0
001130,대한제분,CFS,627631555686.0,615430600543.0,353451263406.0,344701427247.0,403563550492.0,399078814703.0,924170441758.0,919353083839.0,354546667772.0,304947420869.0,3137953805.0,6391856650.0,8506650532.0,4407061726.0
001200,유진투자증권,,,,,,,,,,,,,,,
001210,금호전기,CFS,28806247318.0,36701210379.0,36117184636.0,43889735363.0,39123366582.0,48974883827.0,15565830100.0,12839330125.0,15456646029.0,11457940386.0,-1199239657.0,-2929763475.0,-1928085563.0,-5909997918.0
001230,동국홀딩스,CFS,2950036289896.0,2774282526162.0,2853715442233.0,2824096283756.0,3276900118792.0,3164636526811.0,3373360271332.0,3286611270071.0,1917225899846.0,2131317295529.0,160024263280.0,205825157067.0,-94157623815.0,272561031587.0
001250,GS글로벌,CFS,854561511988.0,1006878372309.0,636063208040.0,805649501154.0,841554057236.0,1012698524738.0,420448831647.0,406714433715.0,1002939532556.0,1250815970594.0,23318900080.0,23806175111.0,9115188289.0,11703686584.0
001260,남광토건,CFS,253629516252.0,263129339480.0,202899792197.0,216082621341.0,226087633022.0,238920806341.0,111276107853.0,107002078032.0,132255487517.0,82691006077.0,983756626.0,1682054315.0,4256239821.0,1636058208.0
001270,부국증권,,,,,,,,,,,,,,,
001275,부국증권우,,,,,,,,,,,,,,,
001290,상상인증권,,,,,,,,,,,,,,,
001340,PKC,CFS,58333585624.0,58146904857.0,139669730525.0,135367118363.0,195423712061.0,193923293147.0,212981051628.0,209319764477.0,63080021505.0,54362623785.0,8910709670.0,8076419183.0,6255618027.0,7042402581.0
001360,삼성제약,CFS,63959907677.0,69571334414.0,16573331981.0,14233036317.0,17371811461.0,15324892000.0,99783057594.0,102589916538.0,13238071482.0,12582643823.0,-5602648949.0,-406885629.0,-2806858944.0,-1499961321.0
001380,SG글로벌,CFS,38508955425.0,35078818277.0,45532743397.0,43222756995.0,66179217748.0,64775255814.0,123452271421.0,121160192606.0,21324871422.0,15840818063.0,1249511583.0,-550676910.0,1801851551.0,-679471516.0
001390,KG케미칼,CFS,2917404043225.0,2561024589897.0,2374005231845.0,2303485758893.0,3957721947285.0,3741042484468.0,3329917938944.0,3240866490316.0,2389579983983.0,1367668272663.0,124158025907.0,132766595468.0,103926719605.0,93199471768.0
001420,태원물산,CFS,21112874863.0,20912453087.0,3619109151.0,3142665315.0,5906544850.0,5374970694.0,29198029956.0,29573533489.0,2228239781.0,2388033486.0,-239834685.0,-255973566.0,-8848183.0,-637792269.0
001430,세아베스틸지주,CFS,1931681853451.0,1809109415045.0,947892391168.0,1025589889996.0,1910223587163.0,1846659305036.0,1992560235129.0,1971744747023.0,1127251242593.0,1074533806913.0,71551039302.0,41582127059.0,56652956550.0,34022036939.0
001440,대한전선,CFS,1272835546000.0,1144663275000.0,614855230000.0,488178116000.0,863126588000.0,738060568000.0,898777185000.0,882204303000.0,703910702000.0,589414011000.0,17677094000.0,11780912000.0,8840256000.0,9372136000.0
001450,현대해상,,,,,,,,,,,,,,,
001460,BYC,CFS,118223394257.0,120182142295.0,121993370471.0,79177003824.0,152514895980.0,153134740019.0,518624213652.0,515737286382.0,36482566057.0,35803053704.0,5958142460.0,6822316333.0,5145225070.0,4878906702.0
001465,BYC우,,,,,,,,,,,,,,,
001470,삼부토건,CFS,441336114129.0,412905353807.0,252581510852.0,236815695645.0,355328678505.0,329646601364.0,183123559280.0,182184483358.0,176480328197.0,84887655524.0,8563719901.0,5993491366.0,6086702985.0,7895698167.0
001500,현대차증권,,,,,,,,,,,,,,,
001510,SK증권,,,,,,,,,,,,,,,
001515,SK증권우,,,,,,,,,,,,,,,
