종목코드,대표자,설립일,주소
001620,김용희,19551229,서울특별시 용산구  한강대로 350
001630,최희남,19560110,서울특별시 서대문구  충정로 8 종근당빌딩
001680,임정배,19560131,서울특별시 종로구 창경궁로 120 종로플레이스
001685,,,
001720,"금정호, 김대일",19560225,"서울특별시 영등포구 국제금융로8길 16 (여의도동, 신영증권빌딩)"
001740,이호정,19560324,경기도 수원시 장안구 경수대로976번길 19 -
001750,김병철,19560327,서울 영등포구 여의도동 34-11
001755,,,
001770,신종호,19560601,"경기도 안산시 단원구  번영2로 31 (성곡동,시화4다706)"
001780,박진우,19560604,대전광역시 대덕구  대화로119번길 31
001790,강승우,19560706,인천광역시 중구  월미로 116(북성동1가)
001795,,,
001800,허인철,19560725,서울특별시 강남구 남부순환로 2745 -
001820,"오영주, 박진",19560814,경기도 용인시 처인구  남사면 경기동로 227
001940,"장세홍, 김동현 (각자대표)",19570219,경상남도 창원시 성산구  공단로103번길 12 한국철강(주)
002020,"안병덕, 이규호",19570412,경기 과천시 별양동 1-23 코오롱타워
002025,,,
002030,"이훈범, 오기호",19570427,서울특별시 강남구  논현로 430 아세아타워빌딩 14층
002070,손영섭,19570614,서울특별시 용산구  서빙고로51길 52
002100,"이병만,이용진",19570712,서울특별시 서초구 효령로77길 28 동오빌딩
002140,"전장열, 김영교(각자 대표이사)",19570724,부산광역시 중구 중앙대로 22 (중앙동6가)
002150,"박승우,곽준상,손영일,김덕구",19620505,서울특별시 강남구  삼성로 438 도화타워
002170,"허준홍, 정대락 (2인 각자 대표이사)",19571012,서울특별시 강남구 테헤란로 301(역삼동) 삼정개발빌딩 6층
002200,대표이사 회장 허용삼 대표이사 사장 허정훈(각자대표이사),19571121,서울특별시 서초구 서초중앙로 63
002210,최용석,19571125,서울특별시 도봉구  도봉로 683  (방학동) 동성빌딩
002220,엄정헌,19571205,서울특별시 중구  퇴계로27길 28 (한영빌딩 9층)
002240,주종대,19450922,부산광역시 수영구 구락로 150
002310,"유승환, 이현탁",19580307,서울특별시 강남구  논현로 430
002320,노삼석,19580310,서울특별시 중구 남대문로 63 한진빌딩
002350,대표이사 부회장 강호찬 대표이사 사  장 김현석,19580411,경상남도 양산시  충렬로 355 넥센타이어
002355,,,
002360,"정케빈규봉, 최찬욱 (공동대표이사)",19580509,전라북도 군산시 외항7길 20
002380,"정몽진, 정재훈",19580812,서울특별시 서초구  사평대로 344 (주)케이씨씨 빌딩
002390,"김영진, 백진기",19540701,서울특별시 강남구  테헤란로 132
002410,강병주,19580821,"부산광역시 동구 초량중로 114 105동 비102호, 비104호(초량동, 범양레우스 센트럴베이)"
002420,조영준,19580821,서울특별시 중구 퇴계로 212
002450,"김종섭, 김민수",19730104,충청북도 음성군  소이면 소이로 313
002460,"이종원,임기영",19580901,대구광역시 수성구  동대구로 111
002600,함영제,19590211,경기도 안산시 단원구  시화로 38 (성곡동)
002620,한상철,19590307,서울특별시 서초구 사평대로 343
002630,장재진,19590416,경기 성남시 중원구 상대원동 143-1
002690,"민세홍, 양영석 (각자대표)",19590713,경기도 안성시 미양면 안성맞춤대로 474-40
002700,정윤석,19590714,충청남도 천안시 서북구 입장면 연곡길 308 -
002710,"손기영, 김영학",19590716,경상북도 포항시 남구  괴동로 100
002720,남태훈,19590727,경기도 성남시 분당구  야탑로 96-8
002760,정기련,19590817,경기도 화성시  양감면 초록로 720-37
002780,김태균,19590903,"인천광역시 연수구 컨벤시아대로 69 (송도동 , 송도밀레니엄 807호)"
002785,,,
002787,,,
002790,"서경배, 이상목",19590306,서울특별시 용산구 한강대로 100 (한강로2가)
002795,,,
00279K,,,
002810,이승용,19591016,서울특별시 마포구  양화로 111
002820,이윤규,19591017,인천광역시 중구 월미로 96
002840,"홍창식, 강신우(각자대표)",19591103,경기도 안산시 단원구  원시로 49 (목내동)
002870,정학헌,19600106,서울특별시 강남구 압구정로 104 501호
002880,"임근호, 박은진(각자대표)",19600116,광주광역시 광산구  소촌로123번길 40-12
002900,"김희용, 김소원",19600201,서울특별시 용산구 장문로 52 동빙고동
002920,류현석(대표이사),19600318,충청남도 아산시 둔포면 아산밸리동로 22
002960,이승봉,19600705,부산광역시 남구  신선로 250 (용당동)
002990,조완석,19721011,전라남도 나주시 시청길 4
002995,,,
003000,이제영,19601017,서울특별시 동작구  대방동1길 47
003010,원경희,19601017,서울특별시 서초구  동산로 86 혜인빌딩
003030,"이주성, 조영빈",19601019,서울시마포구 양화로 45
003060,"김재섭, 김정출",19601203,"서울특별시 송파구 백제고분로 480 4층 (방이동, 풍문빌딩)"
003070,김영범,19601228,경기도 과천시 코오롱로 11 코오롱타워
003075,,,
003080,윤정선,19610106,경기도 안산시 단원구 산단로19번길 168 (목내동) 성보화학주식회사
003090,윤재춘,19610110,경기 성남시 중원구 상대원동 223-23
003120,"윤석근, 엄대식, 윤종호(각자대표)",19610215,경기도 과천시 과천대로7길 20 과천스마트케이업무시설 에이동1001호
003160,박원호 조윤형,19610316,서울특별시 강남구  논현로 703
003200,김정수,19511103,서울특별시 영등포구  은행로 11
003220,"백승열, BAEK JONATHAN IN",19610809,서울특별시 성동구 천호대로 386 대원제약
003230,"김정수, 김동찬",19610915,서울특별시 중구 퇴계로159 삼양라운드스퀘어엔타워
003240,"이부의, 정인철(공동 대표이사)",19610915,서울특별시 중구  동호로 310 (장충동2가)
003280,이환구,19611208,"서울특별시 중구 청계천로 8 (무교동, 프리미어플레이스빌딩) 5층"
