종목코드,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021
000370,CFS,,,,,,,14769484441908.0,13942309499679.0,18825405054947.0,3345779304103.0,3231202089729.0,1459583024339.0,0.0,0.0,7992553392764.0,,,,212756867457.0,187263661938.0,94867381537.0
000390,CFS,298301302214.0,288113092021.0,303516203271.0,214188723179.0,225145199247.0,218092920344.0,281560002691.0,287461316451.0,316175727485.0,309053611346.0,299724957682.0,295922008681.0,631381875774.0,646039531651.0,631605900694.0,25826733514.0,19854394322.0,823659928.0,16130730290.0,5498047424.0,-2425671290.0
000400,CFS,,,,,,,13586751527119.0,14961508820035.0,17909167668076.0,1256231689675.0,1803031352388.0,1002022030279.0,,,,,,,301635926214.0,-99202435421.0,119877975633.0
000430,CFS,415648611932.0,380159612604.0,346751429467.0,372141469780.0,376914805040.0,342470164450.0,408110668532.0,412406943010.0,406038473793.0,618192989958.0,598011882328.0,576991043541.0,1106756862193.0,1024450498787.0,862222796887.0,59171860226.0,22056715849.0,-4958511406.0,37786380416.0,23233915898.0,-2857371907.0
000480,CFS,431029759217.0,460349348857.0,415565058720.0,710420109813.0,551300891815.0,448165791167.0,795117752139.0,793378121821.0,560656513213.0,826684106817.0,827063930862.0,788679464058.0,816904445534.0,798039613255.0,746291404630.0,39415273348.0,22597868685.0,33138447600.0,26857674151.0,49575574685.0,33396172674.0
000490,CFS,1174544147465.0,1048975028464.0,688216247809.0,1110209880220.0,925269813878.0,691723595537.0,1379316412077.0,1241782449283.0,874734548516.0,577059698865.0,471990756298.0,385904527476.0,1433390777280.0,1463737929724.0,1179193321819.0,65403445106.0,88279120517.0,38206130770.0,11919509695.0,38470968608.0,34671963023.0
000500,CFS,545333236859.0,491767369545.0,401943906435.0,376758134591.0,319323694193.0,246544293099.0,470794089215.0,449261889191.0,390851138494.0,331011443000.0,303070555819.0,268115290322.0,1498606544413.0,1416454404337.0,1070383204799.0,43720038993.0,28462568691.0,16571777888.0,17898342263.0,10463889335.0,5854428912.0
000520,CFS,81115093239.0,74781467488.0,76710526474.0,168674681515.0,132592028750.0,121674244828.0,242852725250.0,230880901101.0,160658490541.0,127827371786.0,125819595538.0,65746492511.0,196345807846.0,179676108240.0,134246777887.0,6471027760.0,4016581828.0,399740768.0,1663539539.0,-28287010.0,-5346662644.0
000540,CFS,,,,,,,10670878000000.0,9810958000000.0,13071612000000.0,1360675000000.0,2592783000000.0,690648000000.0,,,,,,,316147000000.0,207243000000.0,62045000000.0
000545,,,,,,,,,,,,,,,,,,,,,,
000590,CFS,236509695616.0,213280099039.0,189086292937.0,25133516977.0,22982072997.0,29190455516.0,36702819606.0,33693421213.0,41521127951.0,347206891081.0,330428149572.0,312195867796.0,171965239524.0,175266452048.0,159017955309.0,19128717935.0,15632045335.0,19647701659.0,22145557927.0,18788497648.0,21065820782.0
000640,CFS,413803739844.0,338341608434.0,358552483675.0,628929901050.0,566085715566.0,467281724372.0,929797048609.0,732791277454.0,706347761608.0,1027309301757.0,998660789749.0,985040574378.0,1132002860400.0,1014860897959.0,881944084032.0,76881723048.0,37854827137.0,61564188030.0,55863039721.0,7835195645.0,60511695848.0
000650,CFS,5021819384.0,9480877874.0,14796468264.0,8691395907.0,18006556086.0,6162509644.0,35683673324.0,28229905515.0,26777803079.0,19058948856.0,26615752815.0,35928246855.0,43998455771.0,37703179407.0,29342954504.0,-5148165928.0,-7411183633.0,-9844065237.0,-4813001445.0,-6007020421.0,-567981626.0
