종목코드,업종명
005680,13전기·전자
005690,13전기·전자
005720,08화학
005725,08화학
005740,21금융
005745,21금융
005750,10비금속
0057H0,
005800,06섬유·의류
005810,21금융
005820,06섬유·의류
005830,25보험
005850,15운송장비·부품
005870,13전기·전자
005880,19운송·창고
005930,13전기·전자
005935,13전기·전자
005940,24증권
005945,24증권
005950,08화학
005960,18건설
005965,18건설
006040,21금융
006060,16유통
006090,05음식료·담배
0060H0,
006110,11금속
006120,21금융
006125,21금융
0061Z0,
006200,21금융
006220,21금융
006260,21금융
006280,09제약
006340,13전기·전자
006345,13전기·전자
006360,18건설
006370,16유통
006380,08화학
006400,13전기·전자
006405,13전기·전자
006490,20통신
0064K0,
006570,11금속
0065G0,
006650,08화학
006660,15운송장비·부품
0066W0,
006740,07종이·목재
0067V0,
0067Y0,
006800,24증권
006805,24증권
00680K,24증권
006840,21금융
006880,16유통
006890,08화학
0068M0,
006980,05음식료·담배
0069M0,
007070,16유통
007110,16유통
007120,29IT 서비스
007160,05음식료·담배
007210,10비금속
007280,11금속
0072R0,
007310,05음식료·담배
007340,13전기·전자
0073X0,
007460,09제약
0074K0,
007540,21금융
007570,09제약
007575,09제약
007590,08화학
007610,13전기·전자
007660,13전기·전자
007690,08화학
007700,21금융
007810,13전기·전자
007815,13전기·전자
00781K,13전기·전자
007860,21금융
0078V0,
007980,06섬유·의류
0079X0,
008040,05음식료·담배
008060,21금융
00806K,21금융
0080G0,
0080X0,
0080Y0,
008250,07종이·목재
008260,11금속
0082F0,
0082V0,
008350,11금속
008355,11금속
0083S0,
008420,11금속
008490,08화학
0084D0,
0084E0,
0085N0,
0085P0,
008600,16유통
0086B0,
0086C0,
008700,13전기·전자
008730,08화학
008770,16유통
008775,16유통
0087F0,
008870,10비금속
0088N0,
008930,21금융
008970,11금속
0089B0,
0089C0,
0089D0,
009070,19운송·창고
0090B0,
009140,13전기·전자
009150,13전기·전자
009155,13전기·전자
009160,11금속
009180,19운송·창고
009190,11금속
0091C0,
0091M0,
0091P0,
009200,07종이·목재
009240,16유통
009270,06섬유·의류
009290,09제약
0092B0,
0092C0,
009310,12기계·장비
009320,15운송장비·부품
0093A0,
0093B0,
0093D0,
009410,18건설
009415,18건설
009420,09제약
009440,21금융
009450,13전기·전자
009460,07종이·목재
009470,13전기·전자
0094K0,
0094L0,
0094M0,
0094X0,
009540,21금융
009580,07종이·목재
009680,15운송장비·부품
009770,07종이·목재
0097L0,
009810,16유통
009830,08화학
009835,08화학
0098F0,
0098N0,
0098Z0,
009900,15운송장비·부품
009970,21금융
0099L0,
010040,10비금속
010060,21금융
0100K0,
010100,15운송장비·부품
010120,13전기·전자
010130,11금속
010140,15운송장비·부품
0101N0,
0102A0,
0102X0,
0103T0,
010400,18건설
0104G0,
0104H0,
0104N0,
0104P0,
010580,15운송장비·부품
0105D0,
0105E0,
010640,08화학
010660,12기계·장비
010690,15운송장비·부품
0106J0,
010770,15운송장비·부품
010780,10비금속
0107F0,
010820,11금속
010950,08화학
010955,08화학
010960,18건설
011000,09제약
011070,13전기·전자
011090,27제조
011150,05음식료·담배
011155,05음식료·담배
011170,08화학
0111J0,
0111P0,
011200,19운송·창고
011210,15운송장비·부품
011230,13전기·전자
011280,07종이·목재
0112X0,
011300,06섬유·의류
011330,15운송장비·부품
011390,10비금속
0113D0,
0113G0,
0113P0,
011420,30오락·문화
0114X0,
011500,08화학
0115C0,
0115D0,
0115E0,
011690,13전기·전자
011700,12기계·장비
011760,16유통
011780,08화학
011785,08화학
011790,08화학
0117L0,
0117V0,
011810,16유통
0118S0,
0118Z0,
011930,13전기·전자
0119H0,
012030,29IT 서비스
0120G0,09제약
0120J0,
0120X0,
012160,11금속
012170,30오락·문화
012200,12기계·장비
012205,12기계·장비
012280,15운송장비·부품
0122W0,
012320,21금융
012330,15운송장비·부품
0123G0,
0123S0,
012450,15운송장비·부품
012510,29IT 서비스
012610,08화학
012630,21금융
012690,07종이·목재
0126Z0,21금융
012750,26일반서비스
0127M0,
0127P0,
0127R0,
0127T0,
0127V0,
012800,11금속
0128D0,
013000,16유통
0131A0,
0131V0,
0131W0,
0132D0,
0132H0,
0132K0,
013360,18건설
0133E0,
013520,15운송장비·부품
013570,21금융
013580,18건설
0135Y0,
013700,18건설
0137V0,
0137W0,
013870,15운송장비·부품
013890,27제조
0138D0,
0138T0,
0138Y0,
0139F0,
0139P0,
014130,19운송·창고
014160,07종이·목재
0141S0,
0141T0,
014280,11금속
014285,11금속
0142D0,
014440,08화학
0144L0,
0144M0,
014530,08화학
014580,10비금속
014680,08화학
014710,05음식료·담배
014790,18건설
014820,08화학
014825,08화학
014830,08화학
0148J0,
014910,13전기·전자
014915,13전기·전자
014990,06섬유·의류
015020,28부동산
0150K0,
0151P0,
0151S0,
015230,15운송장비·부품
015260,13전기·전자
0152E0,
015360,26일반서비스
0153K0,
0153P0,
0153X0,
0154F0,
0154H0,
015590,12기계·장비
0155M0,
0155N0,
015760,17전기·가스
015860,21금융
015890,08화학
016090,06섬유·의류
0162L0,
0162M0,
0162Y0,
0162Z0,
016360,24증권
016380,11금속
0163Y0,
016450,06섬유·의류
0164G0,
016580,09제약
016590,07종이·목재
016610,24증권
0166N0,
0166S0,
0166T0,
016710,26일반서비스
016740,15운송장비·부품
0167A0,
0167B0,
0167Z0,
016800,27제조
016880,21금융
0168K0,
017040,13전기·전자
017180,09제약
0172V0,
0172Y0,
017370,12기계·장비
017390,17전기·가스
0173Y0,
0174B0,
0174J0,
0174R0,
017550,12기계·장비
017670,20통신
0176E0,
0176P0,
0177A0,
0177N0,
0177R0,
0177X0,
017800,12기계·장비
017810,05음식료·담배
017860,08화학
0178H0,
017900,13전기·전자
017940,16유통
017960,11금속
0180V0,
0181B0,
0181L0,
018250,08화학
018260,29IT 서비스
0182R0,
0182S0,
0183J0,
0183V0,
018470,11금속
0184E0,
0184L0,
0184N0,
0184V0,
018500,15운송장비·부품
0185L0,
018670,16유통
0186L0,
0186S0,
018880,12기계·장비
0189B0,
0189Z0,
0190C0,
0190G0,
0190M0,
0190Y0,
019170,09제약
019175,09제약
019180,13전기·전자
0191B0,
0191M0,
0191S0,
0191W0,
0192L0,
0192M0,
0192S0,
0192T0,
0192Z0,
0193G0,
0193K0,
0193L0,
0193M0,
0193T0,
0193W0,
019490,13전기·전자
0194M0,
0194N0,
0194R0,
0194T0,
0195R0,
0195S0,
019680,26일반서비스
019685,26일반서비스
0197W0,
0197X0,
0198A0,
0198B0,
0198D0,
0199C0,
020000,06섬유·의류
020120,29IT 서비스
020150,13전기·전자
0203D0,
0203R0,
0203S0,
0204D0,
0204S0,
020560,19운송·창고
0206G0,
020760,13전기·전자
0207G0,
0207Z0,
0208N0,
0209D0,
0209Z0,
021050,11금속
0210A0,
0210E0,
021240,26일반서비스
0215T0,
0216K0,
0216Z0,
021820,15운송장비·부품
0218J0,
0218K0,
0219B0,
0219E0,
0220A0,
0220B0,
022100,26일반서비스
0221V0,
0221Z0,
0223R0,
023000,15운송장비·부품
023150,05음식료·담배
023350,26일반서비스
023450,08화학
023530,16유통
023590,29IT 서비스
023800,15운송장비·부품
023810,15운송장비·부품
023960,18건설
024070,08화학
024090,11금속
024110,21금융
024720,21금융
024890,08화학
024900,15운송장비·부품
025000,08화학
025530,16유통
025540,13전기·전자
025560,14의료·정밀기기
025620,08화학
025750,07종이·목재
025820,11금속
025860,08화학
025890,12기계·장비
026890,21금융
026940,11금속
026960,16유통
027410,21금융
027740,05음식료·담배
027970,07종이·목재
028050,26일반서비스
028100,18건설
028260,16유통
02826K,16유통
028670,19운송·창고
029460,14의료·정밀기기
029530,13전기·전자
029780,21금융
030000,26일반서비스
030190,29IT 서비스
030200,20통신
030210,24증권
030610,24증권
030720,
031210,25보험
031430,16유통
