종목코드,종목명,재무제표종류,유동자산_2023,유동자산_2022,유동부채_2023,유동부채_2022,부채총계_2023,부채총계_2022,자본총계_2023,자본총계_2022,매출액_2023,매출액_2022,영업이익_2023,영업이익_2022,당기순이익_2023,당기순이익_2022
000020,동화약품,CFS,231666298781.0,227527470560.0,77262781089.0,75562338929.0,87167877184.0,82463208091.0,394587815641.0,378673250961.0,189410170185.0,172512293351.0,17647253518.0,19146613630.0,20514043756.0,12272274475.0
000040,KR모터스,CFS,60333680101.0,60741213420.0,114455067030.0,93561448025.0,130541441350.0,109161230426.0,27167560337.0,40024015157.0,41724437004.0,59232866454.0,-6752219965.0,-2174148254.0,-12422660169.0,-1903033252.0
000050,경방,CFS,136043712302.0,149882373163.0,194333825070.0,199537522037.0,485883788547.0,493309854178.0,742242640490.0,755008459357.0,186310764799.0,195182949091.0,-7946293928.0,28565210259.0,-11581992859.0,14438264659.0
000070,삼양홀딩스,CFS,1710626000000.0,1747899000000.0,1064026000000.0,754977000000.0,1986464000000.0,2024270000000.0,2562646000000.0,2523511000000.0,1626907000000.0,1685137000000.0,45208000000.0,100427000000.0,60029000000.0,90144000000.0
000080,하이트진로,CFS,999792405415.0,1054944220365.0,1672930758682.0,1538466820626.0,2186032578016.0,2172409936540.0,1109828026507.0,1161028374847.0,1245028078808.0,1231499652272.0,50613153367.0,120521864012.0,18355897077.0,76661157007.0
000087,하이트진로2우B,,,,,,,,,,,,,,,
000100,유한양행,CFS,1162655701594.0,1188897717371.0,430843949245.0,434154259039.0,521821538976.0,464921702703.0,1983902256947.0,2007806369446.0,938770294823.0,893806505647.0,49926051706.0,23038547715.0,30874980937.0,48997782975.0
000105,유한양행우,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2657079171253.0,2956459492592.0,2631450662962.0,3108759801795.0,5378448002488.0,5658991479602.0,4150948796160.0,4034308338662.0,5770252075403.0,5993887943782.0,211429011089.0,191790880677.0,108535178241.0,98620660920.0
000140,하이트진로홀딩스,CFS,1018224249459.0,1071001299628.0,2079257731152.0,1953602947964.0,2785181295208.0,2779584712819.0,1130839208444.0,1165416251848.0,1239237708229.0,1225188635712.0,56986154645.0,127559197710.0,10414377589.0,72429859599.0
000145,하이트진로홀딩스우,,,,,,,,,,,,,,,
000150,두산,CFS,11231091063269.0,9526315384836.0,11307480491285.0,9478485386427.0,17209821707497.0,16017536857154.0,11058525121714.0,10297815766057.0,9319461916954.0,7703259462128.0,850197554627.0,554446361885.0,288911009346.0,-120111159960.0
000155,두산우,,,,,,,,,,,,,,,
000157,두산2우B,,,,,,,,,,,,,,,
000180,성창기업지주,CFS,67504448889.0,94243757784.0,114313657108.0,135617637519.0,202328059038.0,224541467009.0,584680793331.0,595772787956.0,88085872559.0,114023747978.0,-9557247312.0,-2843354538.0,-10715810416.0,-4293837800.0
000210,DL,CFS,2895216357321.0,3002744413405.0,2515264922564.0,2323118787433.0,7522368872899.0,7401228917375.0,4595308898280.0,4617764972333.0,2506199263412.0,2352934064393.0,61939998427.0,91212178501.0,-113464572672.0,78584553180.0
000215,DL우,,,,,,,,,,,,,,,
000220,유유제약,CFS,100266121360.0,96357746320.0,49480487619.0,64315528099.0,77503954763.0,71831031376.0,123081568378.0,123374041412.0,68510247627.0,70000340847.0,1592641806.0,679498004.0,-2717080237.0,-962924427.0
000225,유유제약1우,,,,,,,,,,,,,,,
000227,유유제약2우B,,,,,,,,,,,,,,,
000230,일동홀딩스,CFS,324352126044.0,357916641920.0,564957477163.0,526724128430.0,708548379626.0,693452985420.0,120476966304.0,169100181474.0,319806375574.0,339906916220.0,-47271431873.0,-44241232939.0,-50330592808.0,-86040971354.0
000240,한국앤컴퍼니,CFS,564901982460.0,531357795700.0,345546384421.0,285271955522.0,508636494082.0,445377543909.0,3940784501595.0,3856441131880.0,473882894061.0,578470195037.0,77024481770.0,146739172968.0,68685831657.0,139606139277.0
