종목코드,종목명,재무제표종류,유동자산_2023,유동자산_2022,유동부채_2023,유동부채_2022,부채총계_2023,부채총계_2022,자본총계_2023,자본총계_2022,매출액_2023,매출액_2022,영업이익_2023,영업이익_2022,당기순이익_2023,당기순이익_2022
000020,동화약품,CFS,237700038220.0,227527470560.0,106133854638.0,75562338929.0,157916042874.0,82463208091.0,407056365747.0,378673250961.0,361108562008.0,340426327300.0,18775880121.0,29915077882.0,28237045586.0,21591210925.0
000040,KR모터스,CFS,48971232724.0,60741213420.0,100285757703.0,93561448025.0,116165786012.0,109161230426.0,22404630587.0,40024015157.0,78406266627.0,117058740510.0,-17856852211.0,-6234392973.0,-21026668952.0,-13001279643.0
000050,경방,CFS,147155592912.0,149882373163.0,284315938413.0,199537522037.0,468815407005.0,493309854178.0,738045543935.0,755008459357.0,393518958996.0,389227582838.0,15968826403.0,31895306272.0,-13452219151.0,4415249761.0
000070,삼양홀딩스,CFS,1891863242322.0,1747899297133.0,1362419052900.0,754976733224.0,2340123861992.0,2024270109926.0,2796536317013.0,2523510512180.0,3210853491794.0,3316777826141.0,94802726814.0,132324276850.0,227014034818.0,105849359330.0
000080,하이트진로,CFS,1067666618640.0,1054944220365.0,1637599087593.0,1538466820626.0,2242471577188.0,2172409936540.0,1115875628342.0,1161028374847.0,2520181551629.0,2497554821448.0,123919983380.0,190571249139.0,35511119931.0,86816258840.0
000087,하이트진로2우B,,,,,,,,,,,,,,,
000100,유한양행,CFS,1256459307871.0,1188897717371.0,583192369256.0,434154259039.0,712337878463.0,464921702703.0,2101732643463.0,2007806369446.0,1858983759666.0,1775846942745.0,56759795062.0,36028967211.0,134031517424.0,90592526174.0
000105,유한양행우,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2488306558137.0,2956459492592.0,2622292399933.0,3108759801795.0,5314491023876.0,5658991479602.0,4043096242871.0,4034308338662.0,11767893663269.0,12130712862374.0,480234863157.0,411786887242.0,242876054885.0,196821784424.0
000140,하이트진로홀딩스,CFS,1085052800898.0,1071001299628.0,2148800130886.0,1953602947964.0,2874614630369.0,2779584712819.0,1105136518377.0,1165416251848.0,2506869281995.0,2484277054372.0,138073290650.0,202502517207.0,18315800358.0,72048976158.0
000145,하이트진로홀딩스우,,,,,,,,,,,,,,,
000150,두산,CFS,11446327758199.0,9526315384836.0,11438852161739.0,9478485386427.0,17080070105878.0,16017536857154.0,11206738545707.0,10297815766057.0,19130129881903.0,16995760103010.0,1436262204451.0,1126028726422.0,272073643932.0,-581168717784.0
000155,두산우,,,,,,,,,,,,,,,
000157,두산2우B,,,,,,,,,,,,,,,
000180,성창기업지주,CFS,57333168068.0,94243757784.0,108459246277.0,135617637519.0,195769130917.0,224541467009.0,573298043999.0,595772787956.0,166253799305.0,227519697624.0,-16701274741.0,-11487135610.0,-24022292887.0,-13134358819.0
000210,DL,CFS,2818251796605.0,3002744413405.0,3123550526270.0,2323118787433.0,7586162395568.0,7401228917375.0,4533401164317.0,4602803852867.0,5017815821242.0,5173707170177.0,150696391721.0,284470889015.0,-120978168525.0,98152634753.0
000215,DL우,,,,,,,,,,,,,,,
000220,유유제약,CFS,101596545868.0,96357746320.0,49975202561.0,64315528099.0,77857871884.0,71831031376.0,120355654883.0,123374041412.0,137209588673.0,138881056346.0,364537115.0,-592113629.0,-5540581558.0,-4425392926.0
000225,유유제약1우,,,,,,,,,,,,,,,
000227,유유제약2우B,,,,,,,,,,,,,,,
000230,일동홀딩스,CFS,269741863061.0,357916641920.0,531647750490.0,526724128430.0,707097204368.0,693452985420.0,169901850428.0,169100181474.0,638447517670.0,675539717333.0,-79561775827.0,-98410983144.0,-118787164570.0,-194503503708.0
000240,한국앤컴퍼니,CFS,719088877696.0,531357795700.0,461942240387.0,285271955522.0,624304502331.0,445377543909.0,4016691459374.0,3856441131880.0,1089668057103.0,1095895770449.0,256563452628.0,245248895826.0,187234321156.0,166028417720.0
000270,기아,CFS,37466302000000.0,34147147000000.0,25674105000000.0,25377803000000.0,34069591000000.0,34367884000000.0,46558235000000.0,39343081000000.0,99808420000000.0,86559029000000.0,11607873000000.0,7233120000000.0,8777817000000.0,5408976000000.0
000300,DH오토넥스,CFS,22832186627.0,244993953070.0,197353624947.0,330733362911.0,202256217483.0,431957816260.0,-127983096130.0,111252460593.0,32790275265.0,50206345165.0,-29945679316.0,-3650120030.0,-177163487018.0,-24285822987.0
000320,노루홀딩스,CFS,595112644977.0,583742767450.0,351623858673.0,367016107664.0,495031925010.0,511163923981.0,693791646520.0,660825453997.0,1214616529837.0,1031734916590.0,67435854564.0,29622458735.0,51679439985.0,33390806659.0
000325,노루홀딩스우,,,,,,,,,,,,,,,
000370,한화손해보험,CFS,,,,,14769484441908.0,13942309499679.0,3345779304103.0,3231202089729.0,0.0,0.0,,,212756867457.0,187263661938.0
000390,SP삼화,CFS,298301302214.0,288113092021.0,214188723179.0,225145199247.0,281560002691.0,287461316451.0,309053611346.0,299724957682.0,631381875774.0,646039531651.0,25826733514.0,19854394322.0,16130730290.0,5498047424.0
000400,롯데손해보험,CFS,,,,,13586751527119.0,14961508820035.0,1256231689675.0,1803031352388.0,,,,,301635926214.0,-99202435421.0
000430,대원강업,CFS,415648611932.0,380159612604.0,372141469780.0,376914805040.0,408110668532.0,412406943010.0,618192989958.0,598011882328.0,1106756862193.0,1024450498787.0,59171860226.0,22056715849.0,37786380416.0,23233915898.0
