종목코드,종목명,재무제표종류,유동자산_2023,유동자산_2022,유동부채_2023,유동부채_2022,부채총계_2023,부채총계_2022,자본총계_2023,자본총계_2022,매출액_2023,매출액_2022,영업이익_2023,영업이익_2022,당기순이익_2023,당기순이익_2022
000020,동화약품,CFS,234588871843.0,227527470560.0,78767480004.0,75562338929.0,89415897919.0,82463208091.0,400735217547.0,378673250961.0,276867579046.0,255967815900.0,20342101412.0,26565876620.0,26671179284.0,19115742347.0
000040,KR모터스,CFS,57785419203.0,60741213420.0,118795880855.0,93561448025.0,134926480441.0,109161230426.0,19509815144.0,40024015157.0,60820275512.0,90153346547.0,-9921039176.0,-3510775402.0,-19770924294.0,-5005538881.0
000050,경방,CFS,140379148469.0,149882373163.0,297773325440.0,199537522037.0,478362564891.0,493309854178.0,741204615009.0,755008459357.0,284798728366.0,293221608923.0,935319474.0,31814142685.0,-11858407998.0,2528015631.0
000070,삼양홀딩스,CFS,1894757000000.0,1747899000000.0,1225198000000.0,754977000000.0,2058786000000.0,2024270000000.0,2760150000000.0,2523511000000.0,2426328000000.0,2523172000000.0,80234000000.0,129175000000.0,223349000000.0,103942000000.0
000080,하이트진로,CFS,1090654780252.0,1054944220365.0,1669700655613.0,1538466820626.0,2253500302181.0,2172409936540.0,1130919290675.0,1161028374847.0,1899413061674.0,1888912931849.0,94070813641.0,177490331945.0,40169247282.0,109708083686.0
000087,하이트진로2우B,,,,,,,,,,,,,,,
000100,유한양행,CFS,1231993801308.0,1188897717371.0,529955722758.0,434154259039.0,635532630895.0,464921702703.0,2032085748484.0,2007806369446.0,1421833738503.0,1325344671525.0,50809307021.0,18501002642.0,49890294518.0,54537551457.0
000105,유한양행우,,,,,,,,,,,,,,,
000120,CJ대한통운,CFS,2841348699914.0,2956459492592.0,2765374269369.0,3108759801795.0,5550801461033.0,5658991479602.0,4228894551639.0,4034308338662.0,8707323200484.0,9107310304483.0,336222063218.0,299445908086.0,166233225223.0,158818533530.0
000140,하이트진로홀딩스,CFS,1108602319260.0,1071001299628.0,2172926470520.0,1953602947964.0,2858080975324.0,2779584712819.0,1147286956752.0,1165416251848.0,1890240167850.0,1879420998002.0,104252429755.0,187644166216.0,26770300415.0,102208756105.0
000145,하이트진로홀딩스우,,,,,,,,,,,,,,,
000150,두산,CFS,11517898267005.0,9526315384836.0,11077602648306.0,9478485386427.0,17049226418474.0,16017536857154.0,11589134671076.0,10297815766057.0,13858229394695.0,12091513369782.0,1169940331716.0,895077953848.0,393295763328.0,-36327095422.0
000155,두산우,,,,,,,,,,,,,,,
000157,두산2우B,,,,,,,,,,,,,,,
000180,성창기업지주,CFS,66053713656.0,94243757784.0,112000669918.0,135617637519.0,205633737988.0,224541467009.0,582438196824.0,595772787956.0,125150600109.0,170724044422.0,-14466039194.0,-4706501476.0,-15285770023.0,-7337346855.0
000210,DL,CFS,2873036477536.0,3002744413405.0,2859309950085.0,2323118787433.0,7677586104264.0,7401228917375.0,4621343500031.0,4617764972333.0,3770647909942.0,3842717092692.0,73948508530.0,260783583190.0,-164394527950.0,41759106723.0
000215,DL우,,,,,,,,,,,,,,,
