종목코드,종목명,업종명,시장구분,대표자,현재가,등락률,PBR,PER,ROE,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원),시가총액,매출액,영업이익,EPS,BPS,상장주수,결산월,설립일,주소,경상이익,3년연속흑자
000180,성창기업지주,26일반서비스,KOSPI,우인석,5310,-0.19,0.11,-3.59,-3.28,-23.81,-20.36,17.32,2650.87,-26.25,-25.26,-32.53,1.1,708,331,-16,-1479.0,48557.0,13950,12.0,19161120.0,부산광역시 사하구  다대로 627 (다대동),-15,True
000210,DL,08화학,KOSPI,김종현,50500,-0.79,0.28,-12.99,-1.39,58.41,76.12,11.32,99.2,-26.38,30.83,-4.9,56.5,9639,12828,1129,-3887.0,177828.0,20955,12.0,19391010.0,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",83,True
000215,DL우,08화학,KOSPI,,21800,0.69,0.0,0.0,0.0,,,,,-28.29,-4.18,-22.14,1.0,344,0,0,0.0,0.0,1686,12.0,,,0,
000220,유유제약,09제약,KOSPI,"유원상, 박노용(각자대표)",3605,-1.5,0.51,8.67,7.05,4.16,16.62,44.14,160.1,-16.74,-19.17,-20.68,13.4,573,355,43,416.0,7069.0,15747,12.0,19410228.0,충청북도 제천시  바이오밸리1로 94,40,False
000225,유유제약1우,09제약,KOSPI,,3665,-2.27,0.0,0.0,0.0,,,,,-17.92,-25.2,-26.99,1.8,80,0,0,0.0,0.0,2266,12.0,,,0,
000227,유유제약2우B,09제약,KOSPI,,7310,-2.4,0.0,0.0,0.0,,,,,-32.63,-31.81,-31.1,0.2,26,0,0,0.0,0.0,322,12.0,,,0,
000230,일동홀딩스,09제약,KOSPI,최규환,6380,3.4,0.44,6.74,10.97,7.14,-19.39,49.21,8.09,-37.2,-46.83,-29.97,1.8,685,1489,89,947.0,14623.0,11540,12.0,19410314.0,서울특별시 서초구  바우뫼로27길 2 일동제약빌딩,65,True
000240,한국앤컴퍼니,21금융,KOSPI,"박종호, 김준현(2인, 각자 대표이사)",25050,-1.57,0.5,6.85,7.54,10.22,42.88,9.85,335.22,1.21,-5.83,4.16,38.8,23876,3784,1217,3658.0,50477.0,94935,12.0,19410510.0,경기도 성남시 분당구 판교로 286 -,1376,True
000270,기아,15운송장비·부품,KOSPI,"송호성, 송민수(각자 대표이사)",130500,-12.88,0.83,6.83,11.9,2.99,-29.95,54.73,124.15,-14.93,-17.92,25.36,2158.2,564537,295019,22051,19111.0,157456.0,390412,12.0,19441210.0,서울특별시 서초구 헌릉로 12 기아자동차,26352,True
000300,DH오토넥스,15운송장비·부품,KOSPI,최준용,4200,0.0,4.81,37.5,10.95,,104.45,49.49,224.31,0.0,0.0,111.69,0.0,1740,144,3,112.0,874.0,41437,12.0,19671230.0,전북특별자치도 김제시 용지면 용지로 55 김제(본사),2,False
000320,노루홀딩스,21금융,KOSPI,한영재,16560,1.16,0.35,6.91,6.76,12.77,87.45,12.42,147.45,-27.05,-22.98,-28.93,2.4,2111,2988,162,2395.0,47919.0,13291,12.0,19451101.0,경기도 안양시 만안구  박달로 351,210,True
000325,노루홀딩스우,21금융,KOSPI,,23900,0.42,0.0,0.0,0.0,,,,,-25.43,-23.15,-26.8,0.0,58,0,0,0.0,0.0,243,12.0,,,0,
000370,한화손해보험,25보험,KOSPI,나채범,5930,2.77,0.34,3.07,0.0,,,645.52,,-11.62,-1.0,-6.32,52.3,6479,20907,1359,1932.0,17378.0,116738,12.0,19460401.0,서울특별시 영등포구  여의대로 56 한화손해보험(주),1359,
000390,SP삼화,08화학,KOSPI,"배맹달,김현정(각자대표)",5960,-3.56,0.47,21.13,3.64,-6.26,-91.01,81.92,143.51,-36.93,-11.96,-3.4,13.2,1599,1443,18,282.0,12683.0,27203,12.0,19460409.0,경기도 안산시 단원구  별망로 178,40,True
000400,롯데손해보험,25보험,KOSPI,이은호,2290,3.62,0.0,0.0,0.0,,,2248.85,,6.76,33.68,27.51,24.4,6765,0,0,0.0,0.0,310336,12.0,19460520.0,서울특별시 중구  소월로 3 롯데손해보험빌딩,0,
000430,대원강업,15운송장비·부품,KOSPI,"박민희, 김항수",3540,-1.39,0.39,6.03,9.68,2.9,277.94,57.51,81.45,-20.98,-19.73,-3.93,26.3,2176,4328,233,587.0,9057.0,62000,12.0,19460920.0,충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사,263,False
000480,CR홀딩스,10비금속,KOSPI,강문수,4685,0.97,0.34,-8.01,-3.32,31.48,393.04,27.03,22.55,-6.67,-0.64,-13.56,2.3,2168,2057,102,-585.0,13605.0,46890,12.0,19470515.0,전라남도 광양시 산업로 55 본관 3층,104,False
