종목코드,재무제표종류,유동자산_2025,유동자산_2024,유동자산_2023,유동부채_2025,유동부채_2024,유동부채_2023,부채총계_2025,부채총계_2024,부채총계_2023,자본총계_2025,자본총계_2024,자본총계_2023,매출액_2025,매출액_2024,매출액_2023,영업이익_2025,영업이익_2024,영업이익_2023,당기순이익_2025,당기순이익_2024,당기순이익_2023
000020,CFS,217615042358.0,237806254928.0,237700038220.0,202825850151.0,134010964667.0,106133854638.0,240728435023.0,217959805338.0,155736123893.0,401439663390.0,401675120174.0,402783943810.0,496394309778.0,464874735245.0,361108562008.0,256752681.0,13411192945.0,18775880121.0,3842369985.0,2146096510.0,28237045586.0
000040,CFS,18170497563.0,11944057793.0,48971232724.0,28707217327.0,30219368878.0,100285757703.0,50523620307.0,52629712095.0,116165786012.0,43672331167.0,32642815777.0,22404630587.0,13820791334.0,16024969823.0,13285788429.0,-2891596054.0,-4937030424.0,-6186427312.0,-1895969813.0,-14222283251.0,-21026668952.0
000050,CFS,187655820492.0,145868325619.0,147155592912.0,266261459346.0,247427767447.0,284315938413.0,443817462202.0,454721013440.0,468815407005.0,811826797534.0,759626462484.0,738045543935.0,412475877463.0,397276756397.0,393518958996.0,45993453219.0,33449462550.0,15968826403.0,47379145951.0,23594327570.0,-13452219151.0
000070,CFS,1760159102435.0,1866108031174.0,1892682950469.0,1437375571232.0,988834692935.0,1362419052900.0,2619520717525.0,2292419017261.0,2357921004575.0,2652535097234.0,2998088452026.0,2796536317013.0,3348286833611.0,3415010545333.0,3088156229092.0,108765726889.0,108027883729.0,84150375855.0,-298132876106.0,89491916474.0,227014034818.0
000080,CFS,946011313769.0,1023166046028.0,1067666618640.0,1506962466392.0,1653251708979.0,1637599087593.0,2130368916488.0,2292042901576.0,2242471577188.0,1142138785882.0,1149495697352.0,1115875628342.0,2498566821284.0,2599183408023.0,2520181551629.0,172338670998.0,208141871425.0,123919983380.0,41117248572.0,95735005249.0,35511119931.0
000087,,,,,,,,,,,,,,,,,,,,,,
000100,CFS,1511630227301.0,1360261256866.0,1256459307871.0,733553439318.0,619136487792.0,583192369256.0,858641498243.0,791378826075.0,711649335160.0,2362284335746.0,2150670010559.0,2100656255593.0,2186637586358.0,2067791451854.0,1858983759666.0,104374493823.0,54880319609.0,57032368560.0,185318996567.0,55163455235.0,134241126444.0
000105,,,,,,,,,,,,,,,,,,,,,,
000120,CFS,2766670108486.0,2783266786865.0,2488306558137.0,3125807103845.0,2996783656303.0,2622292399933.0,5899567981863.0,5518255667581.0,5314491023876.0,4439637704423.0,4225599854802.0,4043096242871.0,12284652471280.0,12116761147160.0,11767893663269.0,508080820628.0,530663067133.0,480234863157.0,258742959823.0,268320297629.0,242876054885.0
000140,CFS,959708346575.0,1029097623299.0,1085052800898.0,1907241823781.0,2098357740903.0,2148800130886.0,2768000988787.0,2923029298430.0,2874614630369.0,1140161316659.0,1154414666187.0,1105136518377.0,2484504029642.0,2585068710459.0,2506869281995.0,183252663765.0,221794886726.0,138073290650.0,15886630802.0,90773142637.0,18315800358.0
000145,,,,,,,,,,,,,,,,,,,,,,
000150,CFS,14193308000000.0,11912646000000.0,11446328000000.0,13754410000000.0,11024159000000.0,11438852000000.0,20693467000000.0,18253581000000.0,17080070000000.0,12234321000000.0,11889482000000.0,11206739000000.0,19784138000000.0,18132874000000.0,19130130000000.0,1062715000000.0,1003759000000.0,1436262000000.0,249511000000.0,302227000000.0,272074000000.0
000155,,,,,,,,,,,,,,,,,,,,,,
000157,,,,,,,,,,,,,,,,,,,,,,
000180,CFS,51621422376.0,50986246413.0,57333168068.0,60599040294.0,58260420912.0,108459246277.0,183803616784.0,141518712667.0,195769130917.0,677384427460.0,578374605374.0,573298043999.0,127218274093.0,143105590875.0,166253799305.0,-6928127999.0,-7293464621.0,-16701274741.0,-20640100656.0,-3623156326.0,-24022292887.0
000210,CFS,2912100568004.0,2878649711744.0,2818251796605.0,2409846279860.0,2641617003401.0,3123550526270.0,7261068527491.0,7749224680441.0,7586162395568.0,4921075694028.0,4786090727143.0,4533401164317.0,5326721292281.0,5615368498981.0,5017815821242.0,298546039560.0,412518392958.0,150696391721.0,-96298295176.0,94839002886.0,-120978168525.0
000215,,,,,,,,,,,,,,,,,,,,,,
000220,CFS,96914475809.0,101947330682.0,101596545868.0,58947687586.0,64479826927.0,49975202561.0,66679224990.0,72624048180.0,77857871884.0,140543964496.0,135063350825.0,120355654883.0,140884666972.0,133147218082.0,137209588673.0,11019185739.0,11697341742.0,364537115.0,9116733726.0,10289303485.0,-5540581558.0
000225,,,,,,,,,,,,,,,,,,,,,,
000227,,,,,,,,,,,,,,,,,,,,,,
000230,CFS,242569583814.0,267472842690.0,269741863061.0,316926542208.0,369324959655.0,531647750490.0,457281586880.0,600703310841.0,707097204368.0,345579807084.0,253998132129.0,169901850428.0,590889546403.0,634654542814.0,621571320119.0,14925169646.0,-4034556477.0,-78537487350.0,21573192487.0,55583181698.0,-118787164570.0
000240,CFS,605709241694.0,749903811373.0,719088877696.0,257457015581.0,484686609846.0,461942240387.0,478545372042.0,683552763446.0,624304502331.0,4781079225610.0,4452873418433.0,4016691459374.0,1457551700261.0,1390995724547.0,1089668057103.0,411626236474.0,418268299588.0,256563452628.0,347229288109.0,350713050064.0,187234321156.0
000270,CFS,44425929000000.0,41797457000000.0,37466302000000.0,28378332000000.0,26977376000000.0,25674105000000.0,37788591000000.0,36915565000000.0,34069591000000.0,61190464000000.0,55840309000000.0,46558235000000.0,114140919000000.0,107448752000000.0,99808420000000.0,9078148000000.0,12667139000000.0,11607873000000.0,7554174000000.0,9775005000000.0,8777817000000.0
000300,CFS,18811057387.0,26813922849.0,22832186627.0,9999931144.0,30251984157.0,197353624947.0,19126231020.0,40960640758.0,202256217483.0,32101054220.0,26920108848.0,-125889737123.0,,,,3227554944.0,-5148055704.0,-29945679316.0,5755172432.0,113242185596.0,-175132678030.0
000320,CFS,657128184876.0,618344524322.0,595112644977.0,358334009198.0,358871107456.0,351623858673.0,467432298583.0,442599207599.0,495031925010.0,811924393550.0,772239740646.0,693791646520.0,1239267844107.0,1247877697168.0,1214475965811.0,64507992759.0,72554697963.0,67823625279.0,58541894001.0,82067736372.0,51679439985.0
000325,,,,,,,,,,,,,,,,,,,,,,
000370,CFS,,,,,,,17785254247000.0,16881077313000.0,14769484442000.0,2707580443000.0,2953083271000.0,3345779304000.0,,,,,,,292332865000.0,315967449000.0,212756868000.0
000390,CFS,313392549309.0,309605425089.0,298301302214.0,208808227601.0,259275948055.0,214188723179.0,280080911091.0,289704209848.0,281560002691.0,340444459586.0,329610877682.0,309053611346.0,617067546154.0,628348259134.0,631381875774.0,9549499585.0,18981518300.0,25826733514.0,7779643622.0,15473334744.0,16130730290.0
000400,CFS,,,,,,,13796795000000.0,14747239000000.0,13610757000000.0,613504000000.0,794239000000.0,1301660000000.0,,,,,,,51331000000.0,24222000000.0,285580000000.0
000430,CFS,611262771000.0,534673538000.0,415648612000.0,645504504000.0,544575656000.0,372141470000.0,719091681000.0,622920939000.0,408110669000.0,730205422000.0,690386789000.0,618192990000.0,1599072177000.0,1367585047000.0,1106756862000.0,47006630000.0,22564927000.0,59171860000.0,45988040000.0,36941715000.0,37786380000.0
