종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
009180,한솔로지스틱스,CFS,177165253017.0,171827160123.0,109363106502.0,108350135045.0,138146882284.0,137874930696.0,131088953354.0,130119794464.0,174127373995.0,168021620394.0,5694117819.0,6818907427.0,4321674149.0,5773938889.0
009190,대양금속,CFS,96604913457.0,92254990902.0,41291580058.0,45007160154.0,46388450143.0,49894371959.0,88643166121.0,90384510022.0,54468421084.0,52677891982.0,-374285012.0,107729031.0,-1848779742.0,-197683086.0
009200,무림페이퍼,CFS,905396729512.0,921515238909.0,1244820394912.0,1289858400717.0,1767171716987.0,1757952556032.0,716872338318.0,724749118554.0,319075442143.0,330796169580.0,5128834031.0,26101460239.0,-1536785090.0,6456495836.0
009240,한샘,CFS,489959430462.0,512253408952.0,459701434067.0,472039476175.0,667221869989.0,716587845787.0,360370118940.0,350663939878.0,443445641487.0,485898654863.0,6439601366.0,12995109741.0,9595420445.0,48515722995.0
009270,신원,CFS,438368774480.0,371682719549.0,332567975515.0,266955903959.0,481687669237.0,402124433814.0,218378099443.0,226777655430.0,259545016477.0,215410132378.0,6202800251.0,9334456362.0,-1572831522.0,3376766189.0
009290,광동제약,CFS,701516005273.0,719111794531.0,454717948340.0,461298834088.0,545494593480.0,552007659862.0,616718683434.0,618267488792.0,377603695587.0,412486305319.0,3308594490.0,17029959426.0,4060876881.0,18359782669.0
009310,참엔지니어링,CFS,351321889433.0,490655932841.0,429309192808.0,580680313192.0,488498594239.0,594552709306.0,62338337797.0,69752313943.0,10070925320.0,19630432887.0,-8768352001.0,-652700367.0,-7226883803.0,633109244.0
009320,아진전자부품,CFS,41668156182.0,43711660683.0,61994953331.0,64711996727.0,71143178543.0,73629953427.0,29512310509.0,28912743879.0,33418239763.0,29472932461.0,608379019.0,305267852.0,587726913.0,-812788848.0
009410,태영건설,CFS,2149535991766.0,2195061005399.0,2409211491941.0,2499973532470.0,3748572098989.0,3796724785337.0,487217257964.0,527198971669.0,635415570429.0,721062226126.0,15516196901.0,37595632499.0,-38537962359.0,-17788183648.0
009415,태영건설우,,,,,,,,,,,,,,,
009420,한올바이오파마,CFS,74207992722.0,85353313757.0,27936242089.0,34720482983.0,36414060508.0,44529201856.0,159304943021.0,168351403333.0,36150425038.0,34093771031.0,-394461621.0,118589170.0,-207514535.0,-323317539.0
009440,KC그린홀딩스,CFS,78893095307.0,84779505466.0,77944097711.0,81623441027.0,112278975940.0,116324161045.0,158589760326.0,173018234369.0,25829264757.0,153104517287.0,-1432121730.0,-6710541994.0,-993891875.0,96770107058.0
009450,경동나비엔,CFS,716136303317.0,735122507338.0,563167551642.0,581653232429.0,647504893617.0,663453095174.0,721425813791.0,695417009624.0,365181408834.0,323243983990.0,39449968348.0,32540541095.0,37705886834.0,31396039802.0
009460,한창제지,CFS,98170265748.0,100717749201.0,141633226468.0,141369537117.0,193630468182.0,193177410262.0,91236724228.0,94381732867.0,65618145271.0,73940136073.0,-1742636870.0,2979941918.0,-3142904499.0,730884371.0
009470,삼화전기,CFS,119350653159.0,108212114156.0,59220453514.0,47016453756.0,74575209501.0,61084348626.0,110567941010.0,112074123471.0,61704426707.0,58333460678.0,5737836094.0,7696042843.0,1153955440.0,6091596433.0
009540,HD한국조선해양,CFS,23289376934000.0,20431356435000.0,21521533651000.0,19325058391000.0,25016944532000.0,22563324218000.0,14471254883000.0,14155813204000.0,6771705878000.0,5515625997000.0,859154446000.0,160162573000.0,611625281000.0,193345684000.0
009580,무림P&P,CFS,550164166981.0,553511009262.0,705724731751.0,699539047561.0,1077133407393.0,1045487789466.0,630869376132.0,645969475501.0,172965024344.0,188743831615.0,-8943184438.0,6215672330.0,-8730505907.0,-4601722324.0
009680,모토닉,CFS,432258283437.0,377829685058.0,53698824648.0,23628721890.0,59802072497.0,31205741041.0,462435449138.0,468171602831.0,71388021712.0,72072714460.0,4571623876.0,5012561699.0,7214599747.0,7247030041.0
009770,삼정펄프,CFS,154939170735.0,152770987902.0,20686697796.0,27750931290.0,35263000993.0,40124645490.0,263012552840.0,258334606861.0,39729419605.0,39562734375.0,417366354.0,1395801604.0,7177916979.0,17630483434.0
009810,플레이그램,CFS,182810516007.0,185758536169.0,115298421061.0,121511103110.0,126639536273.0,131314143054.0,206138217153.0,205435953766.0,67288898262.0,61397337063.0,-1447590872.0,-599758601.0,453487596.0,-1160329362.0
009830,한화솔루션,CFS,10577239000000.0,10882665000000.0,12139694000000.0,11707552000000.0,20042189000000.0,19429975000000.0,10439295000000.0,10606856000000.0,3094476000000.0,2353387000000.0,30314000000.0,-214634000000.0,-30195000000.0,-447097000000.0
009835,한화솔루션우,,,,,,,,,,,,,,,
009900,명신산업,CFS,702650755879.0,704495197208.0,272092871063.0,286388478382.0,483709308975.0,512838006337.0,706562761792.0,697476492867.0,359636503847.0,401634334924.0,30063949599.0,44088546722.0,16738253095.0,38376997854.0
