종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
032800,판타지오,CFS,52391381242.0,52382589129.0,36183619104.0,29499944537.0,39538629488.0,31558209410.0,48958941021.0,58080914938.0,38192077332.0,72334500746.0,-8032024834.0,-1540001928.0,-9200491612.0,-6431810872.0
032820,우리기술,CFS,112804927069.0,82988672851.0,109059245705.0,73265138811.0,214061207166.0,153372917554.0,124394101537.0,112086289530.0,87135395389.0,71250184948.0,-5486712823.0,553922286.0,-4104661336.0,-4401591680.0
032850,비트컴퓨터,CFS,34589900628.0,35562963584.0,8319131348.0,7538741970.0,8950486914.0,9198182499.0,73801114825.0,70400839060.0,35982573670.0,37074736160.0,5860958671.0,6669762420.0,7331074645.0,7469215601.0
032860,더라미,CFS,22797813713.0,25969755087.0,2021847846.0,4439904041.0,3226701845.0,5188851490.0,52424317937.0,56640231673.0,50919669504.0,69776981093.0,-1720450576.0,1617984206.0,-4645964740.0,2477343572.0
032940,원익,CFS,44378345050.0,42737479898.0,47692458013.0,45153167309.0,95590639527.0,88808134050.0,286616047588.0,273819996803.0,150734965462.0,138735200978.0,8922772952.0,9317949981.0,11653234262.0,21391105082.0
032960,동일기연,CFS,52934215874.0,56877974163.0,3556613181.0,2551127931.0,4268053582.0,3817701443.0,64351207971.0,65553492348.0,21551039836.0,24110354370.0,-61855477.0,191505571.0,6539782517.0,775074054.0
033050,제이엠아이,CFS,49095128537.0,44089679202.0,35904591512.0,25159705200.0,46307579320.0,31173832548.0,58626888120.0,56116466561.0,89803265878.0,80436938348.0,4069008999.0,4045653403.0,3430035906.0,3770441880.0
033100,제룡전기,CFS,238935940288.0,215440726053.0,26132084344.0,43684677955.0,27567533992.0,45073334552.0,239344479226.0,196694449295.0,224017012923.0,262736051492.0,67027203234.0,97845022385.0,58712438931.0,79921256427.0
033130,디지틀조선,CFS,57017758925.0,62118094788.0,9024967494.0,8221367977.0,15284733173.0,10025032610.0,92171626810.0,87962696909.0,39901898759.0,36955034215.0,5508704439.0,2364890239.0,5413837419.0,3754845737.0
033160,엠케이전자,CFS,1082516369900.0,989161360801.0,1098808063719.0,892868730574.0,1532501407748.0,1400129015305.0,1001507418416.0,914068396112.0,1403822824376.0,1170600325569.0,14186439762.0,56076089596.0,13764929869.0,-37697220991.0
033170,시그네틱스,CFS,34375023553.0,27615045493.0,46062116891.0,33181039108.0,54919582967.0,36104675030.0,52210190801.0,69202668200.0,103046699790.0,118150985037.0,-23831622389.0,-25833789534.0,-18307910647.0,-50919811313.0
033200,모아텍,CFS,53323103355.0,54832651699.0,5593155519.0,6421697883.0,6193557565.0,6962489948.0,69980766637.0,71085594615.0,31500704726.0,30584075005.0,-3158121624.0,-2170181038.0,-1971965311.0,67767026.0
033230,인성정보,CFS,191249099766.0,195488242610.0,128169385870.0,111461952572.0,139244683144.0,143002358063.0,88222698174.0,89035521479.0,342737745051.0,359586930378.0,-4277168410.0,-4745951116.0,-5110969690.0,-9407606826.0
033290,로젠,CFS,122379529768.0,90635198247.0,195108402936.0,195714718488.0,575730286996.0,547823375343.0,407265690489.0,357468396579.0,793167527098.0,808627030102.0,22667516100.0,33081155130.0,20690161338.0,18428368635.0
033310,엠투엔,CFS,41023580506.0,28761408284.0,28877243760.0,27199769584.0,47727821654.0,36432640493.0,144064847339.0,145007320232.0,86549524568.0,91210150195.0,2768344830.0,3743595073.0,-596488882.0,3514797943.0
033320,제이씨현시스템,CFS,114319692113.0,103354168576.0,38095675697.0,39148782673.0,41750309529.0,44561045533.0,120930117733.0,111629256770.0,313838926730.0,263899696592.0,7700344786.0,3642816002.0,9300860963.0,2075616755.0
033340,좋은사람들,CFS,51145932919.0,51102155384.0,23176152440.0,14201746432.0,27544991653.0,24223487527.0,57351805861.0,56613382228.0,72599453889.0,90184220097.0,-6083580532.0,1297148979.0,-13727597471.0,340681081.0
033500,동성화인텍,CFS,343481221265.0,307243994694.0,229059585699.0,244661518921.0,242665185023.0,253014742958.0,258895742264.0,202436234793.0,742186008411.0,597409682162.0,72558706089.0,53988814630.0,55883227093.0,39342705119.0
033540,파라텍,CFS,73295114915.0,108214887023.0,73063099746.0,78838291669.0,99288120142.0,111936257615.0,80165864691.0,102457490863.0,173929893426.0,278014723065.0,-13742254235.0,3715297497.0,-21966727115.0,1672621209.0
033560,블루콤,CFS,22242566054.0,10345349514.0,22442798833.0,18180698327.0,30736283838.0,41556378285.0,170150120680.0,159950750116.0,5807047814.0,5090080785.0,648160365.0,3251273086.0,16367706695.0,2375536109.0
033640,네패스,CFS,209309831594.0,151479352999.0,242708459781.0,305587528081.0,450773427582.0,502876077951.0,245425030775.0,207236457987.0,521439287008.0,464331506206.0,23761125843.0,3401796348.0,20158821632.0,-79400160862.0
033790,피노,CFS,137728446141.0,91980943273.0,63939236596.0,15571501958.0,65401839213.0,60204326678.0,98275917816.0,56072283756.0,264760884474.0,30676302081.0,8847177396.0,7608133.0,-5852327699.0,-2466286746.0
033830,티비씨,CFS,95048812089.0,87023039783.0,5391351563.0,6929342414.0,5961241021.0,7645164007.0,131331061306.0,127976372285.0,42691388395.0,40284018896.0,1484573947.0,1456314716.0,3799296059.0,3802312247.0
034810,해성산업,CFS,1089370138894.0,1071756878072.0,876828938801.0,941141769718.0,1302088354823.0,1244041943494.0,1288929938416.0,1347987638851.0,2260078632205.0,2220427942778.0,41841478585.0,71417635539.0,-44884964945.0,-3403242967.0
