종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월
001340,PKC,KOSPI,702,50,-25,2.67,2233,45028,12.0
001360,삼성제약,KOSPI,443,-148,-141,-15.36,1224,94162,12.0
001380,SG글로벌,KOSPI,278,27,28,2.36,309,22482,12.0
001390,KG케미칼,KOSPI,23934,646,1135,7.45,2699,67233,12.0
001420,태원물산,KOSPI,116,-9,12,47.06,215,7600,12.0
001430,세아베스틸지주,KOSPI,9676,311,308,3.75,11099,35862,12.0
001440,대한전선,KOSPI,10834,604,-16,3.16,52036,195992,12.0
001450,현대해상,KOSPI,47161,3245,3173,21.87,31669,85248,12.0
001460,BYC,KOSPI,363,56,56,3.72,1980,6246,12.0
001465,BYC우,KOSPI,0,0,0,0.0,494,2153,12.0
001470,삼부토건,KOSPI,157,-11,-20,-36100000.0,796,229681,12.0
001500,현대차증권,KOSPI,8430,323,336,4.48,4822,61833,12.0
001510,SK증권,KOSPI,7206,287,262,0.0,4938,231295,12.0
001515,SK증권우,KOSPI,0,0,0,0.0,76,1956,12.0
001520,동양,KOSPI,1254,-87,122,5.19,1049,107122,12.0
001525,동양우,KOSPI,0,0,0,0.0,20,262,12.0
001527,동양2우B,KOSPI,0,0,0,0.0,16,205,12.0
001530,DI동일,KOSPI,1698,7,35,-1.06,4671,20715,12.0
001550,조비,KOSPI,1024,48,4,1.22,538,5192,12.0
001560,제일연마,KOSPI,195,15,24,14.36,632,7600,12.0
001570,금양,KOSPI,174,-79,-189,-13.29,6332,63967,12.0
001620,케이비아이동국실업,KOSPI,2047,-12,76,16.62,469,22258,12.0
001630,종근당홀딩스,KOSPI,2403,193,206,7.68,1913,5009,12.0
001680,대상,KOSPI,11099,570,486,-24.02,5935,34648,12.0
001685,대상우,KOSPI,0,0,0,0.0,191,1370,12.0
001720,신영증권,KOSPI,31714,1958,2028,8.04,23459,16440,3.0
001740,SK네트웍스,KOSPI,17434,334,598,4.76,15164,200593,12.0
001750,한양증권,KOSPI,2003,294,287,0.0,2470,12728,12.0
001755,한양증권우,KOSPI,0,0,0,0.0,92,472,12.0
001770,SHD,KOSPI,1066,-40,12,5.58,72,1214,12.0
001780,알루코,KOSPI,1421,97,145,5.18,1495,96830,12.0
001790,대한제당,KOSPI,3151,55,118,-16.84,2276,86241,12.0
001795,대한제당우,KOSPI,0,0,0,0.0,136,6482,12.0
001800,오리온홀딩스,KOSPI,10086,1729,1798,5.53,15129,60156,12.0
001820,삼화콘덴서,KOSPI,729,47,79,5.01,8877,10395,12.0
001940,KISCO홀딩스,KOSPI,2030,-173,-188,-2.09,3565,14176,12.0
002020,코오롱,KOSPI,15188,988,-137,-7.05,3046,12907,12.0
002025,코오롱우,KOSPI,0,0,0,0.0,142,1160,12.0
002030,아세아,KOSPI,4594,237,189,2.67,3633,2058,12.0
002070,비비안,KOSPI,496,-21,-45,-22.23,178,2404,12.0
002100,경농,KOSPI,1535,323,315,5.77,1762,19522,12.0
002140,고려산업,KOSPI,752,33,11,6.79,496,24939,12.0
002150,도화엔지니어링,KOSPI,1555,-24,-13,0.45,1635,33720,12.0
002170,SYTS,KOSPI,413,21,42,5.41,1683,3000,12.0
002200,한국수출포장,KOSPI,691,-72,-68,-3.24,750,33499,12.0
002210,동성제약,KOSPI,884,-66,-77,-15.27,940,96619,12.0
