종목코드,종목명,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021,ROE_2023,부채비율_2023,유동비율_2023,ROE_2022,부채비율_2022,유동비율_2022,ROE_2021,부채비율_2021,유동비율_2021,매출액성장률_2023,영업이익성장률_2023,매출액성장률_2022,영업이익성장률_2022
00104K,CJ4우(전환),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001060,JW중외제약,CFS,378091350382.0,425457063858.0,366451501352.0,286927113694.0,380131098057.0,282677564196.0,379598339300.0,402213719428.0,444513606704.0,265440456801.0,225759035573.0,188539529698.0,748526707817.0,684351099249.0,606584944778.0,100303770111.0,62960870729.0,31199849285.0,38430259560.0,29852560173.0,-1441453468.0,14.48,143.01,131.77,13.22,178.16,111.92,-0.76,235.77,129.64,9.38,59.31,12.82,101.8
001065,JW중외제약우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001067,JW중외제약2우B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001070,대한방직,CFS,69357865765.0,99100925561.0,110899060188.0,31792406575.0,61689419718.0,64549223922.0,49782242505.0,75392116742.0,93144325550.0,130936272087.0,135247441132.0,139467794778.0,149403981153.0,191519691272.0,200372904619.0,-1812481976.0,-3886402441.0,5406662230.0,-3671292616.0,-5230874590.0,1555720538.0,-2.8,38.02,218.16,-3.87,55.74,160.64,1.12,66.79,171.81,-21.99,53.36,-4.42,-171.88
001080,만호제강,CFS,150928400703.0,160309290223.0,152257444065.0,21979564954.0,24484105742.0,21015970113.0,22325402295.0,25657000048.0,26383148020.0,257656264538.0,249989355282.0,247752744927.0,213296308408.0,253705017361.0,196123923305.0,-7441418493.0,-145706310.0,433732631.0,8988679029.0,2931085251.0,6356634114.0,3.49,8.66,686.68,1.17,10.26,654.75,2.57,10.65,724.48,-15.93,-5007.14,29.36,-133.59
001120,LX인터내셔널,CFS,4033775460675.0,4482204749190.0,4376547052901.0,2608427815094.0,2935026255683.0,3430948439233.0,4920385836841.0,4682532060717.0,4362644678498.0,3074954894023.0,3036475272912.0,2384244343246.0,14514349869122.0,18759549404034.0,16686532633651.0,433109594096.0,965543470335.0,656217086586.0,193358801940.0,779310807894.0,540331627454.0,6.29,160.01,154.64,25.66,154.21,152.71,22.66,182.98,127.56,-22.63,-55.14,12.42,47.14
001130,대한제분,CFS,714234907928.0,615430600543.0,683850027463.0,360098478443.0,344701427247.0,380129477789.0,407391972243.0,399078814703.0,440979863565.0,993961881817.0,919353083839.0,880617517208.0,1441458547512.0,1368170051431.0,1111341734130.0,54859482247.0,43274283090.0,24960181509.0,81242498761.0,41343753991.0,87295095400.0,8.17,40.99,198.34,4.5,43.41,178.54,9.91,50.08,179.9,5.36,26.77,23.11,73.37
001200,유진투자증권,CFS,,,,,,,7687427343652.0,7100764279436.0,8214653815670.0,1011904699588.0,975644019345.0,960811140603.0,1647662690835.0,1821576539177.0,1370747937952.0,,,,30696475248.0,15672340026.0,90685709052.0,3.03,759.7,,1.61,727.8,,9.44,854.97,,-9.55,,32.89,
001210,금호전기,CFS,27154653320.0,37080729032.0,65174960579.0,39040424174.0,43610870318.0,63023538068.0,45756810075.0,48670001850.0,65486927043.0,7148316474.0,13523730755.0,18362616731.0,53372993650.0,46015093156.0,41640597680.0,-8228668329.0,-11787966654.0,-8559664657.0,-18342317139.0,-17860161242.0,-9883907411.0,-256.6,640.11,69.56,-132.07,359.89,85.03,-53.83,356.63,103.41,15.99,30.19,10.51,-37.72
