종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
003480,한진중공업홀딩스,CFS,321374000000.0,444234000000.0,536669000000.0,713972000000.0,1254954000000.0,1429144000000.0,445392000000.0,420523000000.0,694448000000.0,628498000000.0,39244000000.0,22207000000.0,27337000000.0,19496000000.0
003490,대한항공,CFS,10496957979505.0,11616873056353.0,14712981840462.0,16973485891743.0,35806631728879.0,36048874072912.0,11531367617133.0,10963191867177.0,12702567826636.0,8693676241977.0,801130020209.0,980457443035.0,907135482401.0,765669342913.0
003495,대한항공우,,,,,,,,,,,,,,,
003520,영진약품,CFS,125391250568.0,123818398434.0,102556517637.0,114633810121.0,149214270587.0,144454841644.0,91160790367.0,89803131309.0,126590149590.0,127147371145.0,4500562981.0,5811137061.0,1315112189.0,2636459259.0
003530,한화투자증권,CFS,,,,,12947810000000.0,12311894000000.0,1781724000000.0,1706230000000.0,1726588000000.0,1150445000000.0,,,66479000000.0,57314000000.0
003535,한화투자증권우,,,,,,,,,,,,,,,
003540,대신증권,CFS,,,,,27255174591000.0,23080719628000.0,3588275252000.0,3315389037000.0,2446835560000.0,2016660494000.0,,,152083391000.0,105181841000.0
003545,대신증권우,,,,,,,,,,,,,,,
003547,대신증권2우B,,,,,,,,,,,,,,,
003550,LG,CFS,4544129000000.0,5064132000000.0,1779238000000.0,2244807000000.0,2907483000000.0,3506640000000.0,28554437000000.0,28132633000000.0,3733846000000.0,3447830000000.0,914931000000.0,732036000000.0,852645000000.0,658787000000.0
003555,LG우,,,,,,,,,,,,,,,
003570,SNT다이내믹스,CFS,594461497885.0,526652954048.0,172695658884.0,162946662241.0,310144389989.0,243741577262.0,813334065922.0,790344489614.0,336666812235.0,259118481418.0,47289352211.0,68477120742.0,45782467110.0,59899907846.0
003580,HLB글로벌,CFS,41135155358.0,49459423619.0,30569168261.0,37292278904.0,35313092970.0,40853639450.0,78668278982.0,95064945424.0,51042694858.0,52953210798.0,-5324384432.0,2421007441.0,-9278083553.0,-6188558.0
003610,방림,CFS,108574173637.0,113436024468.0,41431747503.0,34721913024.0,49098561404.0,41948591533.0,179943569593.0,189678539654.0,58767039602.0,53566564672.0,-253740691.0,-2390001287.0,5414660532.0,376821339.0
003620,KG모빌리티,CFS,1298570410491.0,1171965568545.0,1083362144016.0,1017426980564.0,1900475271464.0,1683909503308.0,1444040961577.0,1420542693233.0,1903021700748.0,1986647555843.0,13694937148.0,25699164921.0,-4704068855.0,86492901956.0
003650,미창석유,CFS,384065617148.0,360989405614.0,63146123770.0,68519265391.0,76695141562.0,76419929556.0,450947977467.0,412505084328.0,205199051397.0,220523879516.0,19486136592.0,24839743870.0,42086909212.0,46193782131.0
003670,포스코퓨처엠,CFS,1853123507458.0,2112748442946.0,1884374636612.0,1570069945473.0,4886199459340.0,4611953968440.0,3241534116897.0,3320505865578.0,1506330789509.0,2053909108103.0,17923470785.0,40634625586.0,13382273270.0,45811970837.0
003680,한성기업,CFS,135855182365.0,132109348443.0,117788121348.0,138250431324.0,179256205920.0,176744116198.0,68919186430.0,67812016491.0,159764234599.0,171020932721.0,5704169804.0,5363775362.0,1107169939.0,2528244522.0
003690,코리안리,CFS,,,,,9685375368964.0,9707522557270.0,3496418772624.0,3452869465595.0,,,,,201662982427.0,155128196992.0
003720,삼영,CFS,53793308357.0,52947767038.0,64433628301.0,61810665861.0,64569502988.0,61866350493.0,77270381413.0,74183530314.0,64720247224.0,62838168122.0,4584917709.0,4876171004.0,3613533964.0,4618716723.0
003780,진양산업,CFS,32082843329.0,33329262059.0,23250914982.0,25265584480.0,29142332092.0,31597574345.0,64417746026.0,64368177547.0,46806066199.0,42538721620.0,4745226145.0,4291207855.0,3783705976.0,4128961287.0
003830,대한화섬,CFS,105273341725.0,103720154380.0,55568350234.0,54337475258.0,130358895527.0,129833012247.0,690912893652.0,690751693091.0,55803142597.0,67070389014.0,-807508296.0,1872064547.0,7156451823.0,5209359356.0
003850,보령,CFS,669304087458.0,631573603644.0,243583595297.0,239339291363.0,537944002245.0,379583669062.0,782047896776.0,784503260930.0,492068625692.0,489162845824.0,36279611258.0,36467475038.0,9213649303.0,47048550183.0
003920,남양유업,CFS,337275409766.0,348233969792.0,90565469349.0,85480919589.0,97265351101.0,92408003076.0,605288627618.0,631785721012.0,447701147180.0,478657386740.0,1003061021.0,-23443665159.0,2079137990.0,-19056278422.0
003925,남양유업우,,,,,,,,,,,,,,,
003960,사조대림,CFS,875178899231.0,827540017183.0,928279490785.0,778714536256.0,1316708473707.0,1284969216510.0,898569971859.0,838581573734.0,1714184159639.0,1179604882077.0,46877743038.0,76280089224.0,30734102815.0,57658730109.0
004000,롯데정밀화학,CFS,1067527868466.0,1045870950817.0,205531684807.0,177757081955.0,356345402527.0,345163994108.0,2377402790891.0,2368686673109.0,870263494622.0,821516531948.0,27490906046.0,27880838466.0,43909942574.0,126690357876.0
004020,현대제철,CFS,10910950639990.0,11459924503844.0,6706265707565.0,7699051534479.0,14249177969891.0,15410222889378.0,19405066418135.0,19333565136259.0,11509019989320.0,11989162622112.0,82740071671.0,153769143786.0,-16993877738.0,33574988247.0
004060,SG세계물산,CFS,83839279478.0,81156509366.0,29224173205.0,33868652717.0,34395026031.0,40793896633.0,260247517774.0,267459474206.0,62533043203.0,68266302970.0,-1246844064.0,-1524742481.0,1303714788.0,6376261383.0
004080,신흥,CFS,53747905253.0,48814600961.0,28029305289.0,23043559112.0,32419891254.0,25267017171.0,116890920369.0,116160640620.0,48158044065.0,51231548268.0,2426534598.0,3318006597.0,2214298564.0,2737946221.0
004090,한국석유,CFS,197292064581.0,191645514390.0,164607162815.0,155594487362.0,206835496746.0,186827178792.0,202071298686.0,197577357210.0,351006757158.0,357912632733.0,4116850295.0,8178861849.0,3632868040.0,3957149681.0
004100,태양금속,CFS,295780818844.0,289426904277.0,337943635212.0,337426404299.0,424820213472.0,417835346277.0,104661717508.0,110305490991.0,311377223115.0,325982349603.0,8798137180.0,10225454062.0,-5029440539.0,6258311608.0
004105,태양금속우,,,,,,,,,,,,,,,
004140,동방,CFS,257858690846.0,228206856820.0,233965901561.0,270815535620.0,490746919665.0,471155865814.0,171975973132.0,159174522703.0,425578081103.0,430691690522.0,15858579616.0,17838288678.0,13934091682.0,21956986307.0
004150,한솔홀딩스,CFS,337635232000.0,351030660000.0,203578771000.0,219176724000.0,239718601000.0,259801490000.0,666095537000.0,673357379000.0,555185945000.0,208578084000.0,15722141000.0,-785012000.0,23369134000.0,13089819000.0
004170,신세계,CFS,2201751196474.0,2342662811362.0,4603793133162.0,4947367431132.0,8620023696733.0,8697075677726.0,6499146862076.0,6374698444225.0,3359664589805.0,3209126925150.0,207673016107.0,280465869448.0,85411567945.0,187682090395.0
004250,NPC,CFS,155364307420.0,160023114312.0,121884671831.0,122915061382.0,164446443753.0,139357329293.0,438359232748.0,438253096661.0,212229273840.0,237889009048.0,13473372649.0,15277618314.0,8524980786.0,12183896575.0
004255,NPC우,,,,,,,,,,,,,,,
004270,남성,CFS,95064924843.0,95561330811.0,133460022351.0,135776415226.0,169962703013.0,168670191071.0,110177860656.0,107387182541.0,38613047407.0,37174632817.0,1983784191.0,1100476527.0,-1481114556.0,-147803086.0
004310,현대약품,CFS,85111894424.0,79562139507.0,76354367234.0,58687244814.0,85398564745.0,77322023506.0,77992589345.0,79074176370.0,91500526602.0,86652502668.0,663000893.0,2591589456.0,-28816939.0,1390986018.0
004360,세방,CFS,279957836444.0,338816161501.0,206846864295.0,254930329487.0,298118908528.0,345651980660.0,1178798246546.0,1134629636929.0,652062088372.0,698588615947.0,22279294643.0,22328357106.0,45402776697.0,68610397053.0
004365,세방우,,,,,,,,,,,,,,,
004370,농심,CFS,1812941043093.0,1743739590775.0,689990891333.0,678174791731.0,942790843409.0,924886441245.0,2661874932465.0,2672575129457.0,1760761505231.0,1733234179918.0,96203996028.0,105060675186.0,88571613248.0,95959791223.0
004380,삼익THK,CFS,177717005254.0,219780282709.0,223259167068.0,238758164454.0,257105742824.0,264770756288.0,162980120860.0,198828649589.0,112238522302.0,154946847758.0,-13068046778.0,2755840196.0,-33882643059.0,724212696.0
004410,서울식품,CFS,23255476969.0,21525925202.0,38275426949.0,31605356571.0,46624115282.0,43334977612.0,21438544187.0,22972735241.0,34621985113.0,29912687300.0,-482529127.0,-682413091.0,-1137619101.0,-1091019068.0
004415,서울식품우,,,,,,,,,,,,,,,
004430,송원산업,CFS,678863000000.0,654244000000.0,348809000000.0,329649000000.0,434020000000.0,424083000000.0,745440000000.0,756110000000.0,541161000000.0,529273000000.0,19529000000.0,28547000000.0,3376000000.0,17237000000.0
004440,삼일씨엔에스,CFS,154600432529.0,159162832765.0,111415433163.0,123304139235.0,115198429124.0,127003075315.0,266859296740.0,267068544523.0,115439322284.0,108189799439.0,1036519097.0,2461253172.0,-209247783.0,168363290.0
004450,삼화왕관,CFS,54669750102.0,54134966171.0,36268863459.0,37273207463.0,90256257308.0,92385437720.0,114032625744.0,111564987034.0,84808505040.0,83367482164.0,3713281711.0,6695995620.0,2851078552.0,5554280208.0
004490,세방전지,CFS,1157413568053.0,1075877589238.0,490785187852.0,504967120550.0,575453694466.0,586279421321.0,1576306820326.0,1507838365556.0,1078747337159.0,986211090721.0,86761975026.0,105081697650.0,71910566522.0,99634277729.0
004540,깨끗한나라,CFS,159801810548.0,159480921600.0,285660772414.0,340255083612.0,421636676477.0,430942361723.0,200119765551.0,190134948768.0,254295810077.0,262466807103.0,-10048716752.0,1295035609.0,-19625985162.0,-5902741831.0
004545,깨끗한나라우,,,,,,,,,,,,,,,
004560,현대비앤지스틸,CFS,404930047144.0,413660311029.0,88273358758.0,171501975356.0,203780859567.0,237513520737.0,521653088801.0,516108525904.0,375962019642.0,422916922117.0,12281518301.0,18670894916.0,5120353166.0,16465911051.0
004690,삼천리,CFS,1557933269928.0,1776410315886.0,1082714605820.0,1392939479151.0,2425132061907.0,2757654283604.0,1856357588808.0,1760543940050.0,2914283508552.0,2746451934828.0,126114023101.0,105145621000.0,112387307306.0,104240411324.0
004700,조광피혁,CFS,96770098681.0,96339355279.0,11478854175.0,10911048946.0,68944608666.0,75372431014.0,523608087999.0,543391319155.0,52183364060.0,48156539693.0,3856539715.0,4762381806.0,5511101217.0,7676781612.0
004710,한솔테크닉스,CFS,377861087829.0,333316612074.0,263438783056.0,270153207185.0,398607056318.0,367642900986.0,521133693677.0,512372272804.0,631326905878.0,550560829434.0,32091513649.0,22470784459.0,24814124704.0,23921431380.0
004720,팜젠사이언스,CFS,94464745856.0,110708529863.0,44189410361.0,65422042364.0,85483698209.0,114022310240.0,245387827728.0,249428137040.0,88751494561.0,85406830358.0,5365773791.0,5730283359.0,3150984760.0,3055574774.0
004770,써니전자,CFS,79652490093.0,78312236857.0,862808611.0,1574607230.0,1182958714.0,1936772265.0,83852528429.0,83206699478.0,6363671300.0,6068273356.0,1149868802.0,1018001668.0,1936214880.0,1950322197.0
004800,효성,CFS,1087561960088.0,1021710482736.0,1387345457987.0,1351828011529.0,2024729815099.0,1836425734781.0,2557115617306.0,2504438694987.0,1155811897569.0,984925428877.0,180958561120.0,44242969537.0,161904089963.0,18541342351.0
004830,덕성,CFS,69083441273.0,68982682841.0,42559486330.0,28859209577.0,48364854167.0,43840629211.0,93444003820.0,92406698916.0,73903301807.0,55710244925.0,5044089158.0,3621120708.0,3139532915.0,3496542178.0
