종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,고유번호,재무제표종류,매출액_당기,매출액_전기,영업이익_당기,영업이익_전기,영업이익_전전기,부채총계,자본총계,유동자산,유동부채,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3년연속흑자
003010,혜인,KOSPI,0,0,0,0.0,535,12712,12.0,00165343,CFS,241713123892.0,248825923748.0,17552440394.0,14157545456.0,9142102686.0,123033329899.0,127629006006.0,176567427090.0,118594715478.0,-2.86,23.98,96.4,148.88,True
003030,세아제강지주,KOSPI,9919,267,229,0.62,4021,4141,12.0,00124197,CFS,21112281202.0,26369040143.0,6050659800.0,11374788049.0,30132756191.0,225655358370.0,749526714648.0,5889992915.0,113917434329.0,-19.94,-46.81,30.11,5.17,True
003060,에이프로젠바이오로직스,KOSPI,216,-136,-46,-48.81,285,14412,12.0,00101044,CFS,48840894266.0,53011524412.0,-60570088590.0,-51550652779.0,-56932168794.0,265837245117.0,245011427739.0,81945393691.0,195531248820.0,-7.87,-17.5,108.5,41.91,False
003070,코오롱글로벌,KOSPI,6312,220,143,-22.64,2189,25423,12.0,00152880,CFS,2691174023186.0,2839989101702.0,12409984757.0,-52357077787.0,15440416522.0,2183423557314.0,697713478995.0,1349022051983.0,1844327243613.0,-5.24,123.7,312.94,73.14,False
003075,코오롱글로벌우,KOSPI,0,0,0,0.0,91,740,12.0,,,,,,,,,,,,,,,,
003080,SB성보,KOSPI,443,70,69,23.76,436,20020,12.0,00132725,CFS,63669588696.0,59735031856.0,-5355106740.0,-1247655237.0,1137577118.0,74835302892.0,150794629252.0,115956290441.0,66541551035.0,6.59,-329.21,49.63,174.26,False
003090,대웅,KOSPI,4927,478,679,16.32,9401,58141,12.0,00111810,CFS,73982158122.0,97960706807.0,20512522465.0,48400993285.0,65427364364.0,53142366273.0,510041881747.0,52523248109.0,40796388847.0,-24.48,-57.62,10.42,128.74,True
003120,일성아이에스,KOSPI,690,-95,112,3.41,2686,13300,12.0,00146214,CFS,64291702806.0,69018340865.0,-6160588840.0,-9518107492.0,-7992642135.0,16665238587.0,386344748050.0,269976500434.0,15454824769.0,-6.85,35.28,4.31,1746.88,False
003160,디아이,KOSPI,1057,189,190,6.28,5572,28300,12.0,00118275,CFS,151179171448.0,100937732614.0,5606275560.0,843878905.0,9771238827.0,119048839547.0,167246752988.0,127301432360.0,91299483842.0,49.77,564.35,71.18,139.43,True
003200,일신방직,KOSPI,1405,30,39,2.0,2220,22960,12.0,00146269,CFS,288639066004.0,321401331196.0,-1381608082.0,595719668.0,-15863987941.0,56692796285.0,604582416252.0,196610356481.0,38778625940.0,-10.19,-331.92,9.38,507.01,False
