종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,고유번호,재무제표종류,매출액_당기,매출액_전기,영업이익_당기,영업이익_전기,영업이익_전전기,부채총계,자본총계,유동자산,유동부채,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3년연속흑자
062040,산일전기,KOSPI,1503,555,597,0.0,50454,30615,12.0,00366438,CFS,501946220880.0,333996550771.0,179039569523.0,109231906505.0,46604557786.0,95411036473.0,585689594950.0,418622554421.0,89374170655.0,50.28,63.91,16.29,468.39,True
063160,종근당바이오,KOSPI,1718,110,92,6.85,704,5485,12.0,00390055,CFS,160070986863.0,171756008722.0,3605135548.0,10953544485.0,-20152520381.0,172831336831.0,127035604266.0,136237477826.0,152041614885.0,-6.8,-67.09,136.05,89.61,False
064350,현대로템,KOSPI,14575,2242,2756,30.08,167096,109142,12.0,00302926,CFS,5694994720000.0,4323302753000.0,998880351000.0,468382752000.0,205279351000.0,6026496962000.0,3024514539000.0,6960492250000.0,5549957907000.0,31.73,113.26,199.26,125.42,True
064400,LG씨엔에스,KOSPI,13150,942,1128,16.64,60553,96885,12.0,00139834,CFS,5449270878000.0,5407585590000.0,433533928000.0,413488606000.0,373164112000.0,2189534385000.0,2642683835000.0,3571454205000.0,1723821109000.0,0.77,4.85,82.85,207.18,True
064960,SNT모티브,KOSPI,2156,215,332,7.23,6754,26540,12.0,00398792,CFS,998738886099.0,947329803800.0,109161451755.0,99149942526.0,120240879190.0,253669375107.0,1014510835725.0,783811167782.0,212127129940.0,5.43,10.1,25.0,369.5,True
066570,LG전자,KOSPI,237272,16737,14009,4.11,282116,162884,12.0,00401731,CFS,29554826000000.0,30762552000000.0,-787504000000.0,558964000000.0,686807000000.0,22468951000000.0,12622192000000.0,10222228000000.0,13871268000000.0,-3.93,-240.89,178.01,73.69,False
066575,LG전자우,KOSPI,0,0,0,0.0,10824,17181,12.0,,,,,,,,,,,,,,,,
066970,엘앤에프,KOSPI,7396,1173,-555,-76.93,33685,40683,12.0,00398701,CFS,2149618578656.0,1903173521972.0,-154267011113.0,-558742289817.0,-224139651645.0,2390574565457.0,689737069955.0,1305681250653.0,2010753004310.0,12.95,72.39,346.59,64.93,False
067830,세이브존I&C,KOSPI,1172,78,161,2.64,943,41040,12.0,00422895,CFS,118101449478.0,117239836613.0,4585913625.0,7777044370.0,11043745814.0,96179240957.0,492105922836.0,116618161447.0,49574702270.0,0.73,-41.03,19.54,235.24,True
068270,셀트리온,KOSPI,11450,3219,4322,7.28,399062,232553,12.0,00413046,CFS,2928637506047.0,3709213742987.0,918952338732.0,1211013945929.0,638489472608.0,4403286860823.0,17409723386976.0,6046696375117.0,3944359222283.0,-21.04,-24.12,25.29,153.3,True
068290,삼성출판사,KOSPI,406,-2,126,6.34,621,10000,12.0,00423690,CFS,40291331074.0,40565887090.0,-795440193.0,-181381974.0,-1311944874.0,30736401598.0,164043724555.0,30119637611.0,6503167808.0,-0.68,-338.54,18.74,463.15,False
069260,TKG휴켐스,KOSPI,2949,152,179,6.86,6176,40878,12.0,00426086,CFS,1082236125709.0,1178503410670.0,67471387356.0,82804758677.0,121230241143.0,161070275008.0,908365118527.0,457207520558.0,139971045707.0,-8.17,-18.52,17.73,326.64,True
069460,대호에이엘,KOSPI,654,17,-99,-44.72,463,17414,12.0,00428729,CFS,200272853980.0,168532831254.0,4263347786.0,5826923476.0,8359024150.0,79658951212.0,79495006089.0,84825228989.0,70029242093.0,18.83,-26.83,100.21,121.13,True
069620,대웅제약,KOSPI,3778,222,340,21.84,14112,11586,12.0,00427483,CFS,1390995347493.0,1265401249835.0,203562530726.0,163755447749.0,133406751966.0,1078334354091.0,1022662458894.0,571290805472.0,539024443759.0,9.93,24.31,105.44,105.99,True
069640,한세엠케이,KOSPI,660,4,-11,-115.88,222,22403,12.0,00357360,CFS,226741131539.0,224208628023.0,-9742571774.0,-14893986032.0,2875725406.0,247623703289.0,16597465022.0,137591495385.0,217740757332.0,1.13,34.59,1491.94,63.19,False
069730,DSR제강,KOSPI,567,66,118,15.28,813,14400,12.0,00151298,CFS,223570015476.0,215582385097.0,27026195150.0,19511056524.0,23494981828.0,67139315153.0,188341592236.0,137694519403.0,66069076562.0,3.71,38.52,35.65,208.41,True
069960,현대백화점,KOSPI,9501,988,986,4.62,30212,21564,12.0,00428251,CFS,1795544840000.0,1778477570000.0,264755055000.0,226066710000.0,229294751000.0,3259461365000.0,4537009761000.0,1624701954000.0,2596139490000.0,0.96,17.11,71.84,62.58,True
070960,모나용평,KOSPI,477,94,80,-8.44,1010,48133,12.0,00365989,CFS,245837503553.0,263891055888.0,23445467761.0,27304027587.0,21300871820.0,605936931592.0,357114981140.0,212083108361.0,293505540793.0,-6.84,-14.13,169.68,72.26,True
071050,한국금융지주,KOSPI,104160,11063,12362,21.86,122039,55725,12.0,00432102,CFS,,,,,,5351787000000.0,8640712000000.0,,,,,61.94,,
071055,한국금융지주우,KOSPI,0,0,0,0.0,8711,5858,12.0,,,,,,,,,,,,,,,,
071090,하이스틸,KOSPI,549,18,37,-1.99,576,20191,12.0,00435312,CFS,254190897257.0,245341001807.0,-1491635552.0,583470141.0,2566728634.0,117920893095.0,144084951158.0,106389328625.0,101300960143.0,3.61,-355.65,81.84,105.02,False
071320,지역난방공사,KOSPI,14341,3202,2963,13.14,7375,11578,12.0,00159698,CFS,3997952000000.0,3570123000000.0,527043000000.0,326724000000.0,314198000000.0,5921831000000.0,2301416000000.0,952699000000.0,1875096000000.0,11.98,61.31,257.31,50.81,True
071840,롯데하이마트,KOSPI,23567,17,-2869,-28.05,1468,23607,12.0,00158307,CFS,2300095883091.0,2356656539880.0,9639450324.0,1720857840.0,8223020506.0,847931390669.0,942935229746.0,478545111257.0,496857710658.0,-2.4,460.15,89.92,96.31,True
071950,코아스,KOSPI,214,19,1,-162.18,218,12459,12.0,00210856,CFS,61641195433.0,76753756057.0,-5076064631.0,-7130775204.0,-3513049135.0,45874677118.0,34954051411.0,20328636719.0,42650853191.0,-19.69,28.81,131.24,47.66,False
071970,HD현대마린엔진,KOSPI,1335,326,348,43.41,19742,33921,12.0,00406046,CFS,379847863143.0,295824034505.0,68451829452.0,28947889747.0,16558330345.0,319875348393.0,463468651602.0,504071085799.0,315200090769.0,28.4,136.47,69.02,159.92,True
072130,유엔젤,KOSPI,177,2,13,7.32,583,12695,12.0,00416654,CFS,61002300369.0,52222065775.0,3560976773.0,680748761.0,-1545924412.0,14606203581.0,62210888825.0,28771975177.0,11821412018.0,16.81,423.1,23.48,243.39,False
072710,농심홀딩스,KOSPI,2654,309,303,9.16,4053,4637,12.0,00459871,CFS,31720775000.0,21767504600.0,26245535099.0,16626059053.0,16670043843.0,68415348760.0,590691743213.0,7050270261.0,10844673155.0,45.73,57.86,11.58,65.01,True
073240,금호타이어,KOSPI,11678,1470,1291,17.1,17522,287260,12.0,00481454,CFS,3530891476573.0,3608474460011.0,408213125691.0,494262265080.0,222689719219.0,2485915909018.0,1512891144694.0,1849684749597.0,1698428529244.0,-2.15,-17.41,164.32,108.91,True
074610,이엔플러스,KOSPI,63,-6,-6,-68.19,448,8770,12.0,00469799,CFS,29504334488.0,20199884719.0,-2901533511.0,-16740757204.0,-19155416485.0,27602387666.0,14296152299.0,8162741975.0,24850049736.0,46.06,82.67,193.08,32.85,False
075180,새론오토모티브,KOSPI,361,-17,57,0.5,574,19200,12.0,00305668,CFS,102914912208.0,105687734264.0,-2912962283.0,-8881917202.0,-4612123720.0,19475872832.0,211472897184.0,114582809969.0,15552427043.0,-2.62,67.2,9.21,736.75,False
075580,세진중공업,KOSPI,872,136,205,24.76,6549,56849,12.0,00415628,CFS,366130145053.0,311656739711.0,63791150341.0,29222526889.0,28479925738.0,261292721081.0,230484336591.0,108478102173.0,145261001840.0,17.48,118.29,113.37,74.68,True
077500,유니퀘스트,KOSPI,1690,115,119,9.29,1153,21600,12.0,00414601,CFS,729770346361.0,710482069603.0,39234567791.0,34659637062.0,34216656541.0,269724819116.0,249886858374.0,465057608050.0,268995818827.0,2.71,13.2,107.94,172.89,True
077970,STX엔진,KOSPI,1890,175,160,23.25,9374,40148,12.0,00480455,CFS,744818465645.0,687958763734.0,64753302712.0,37372942882.0,16562022902.0,807712162952.0,318022258463.0,698966085198.0,739416827465.0,8.26,73.26,253.98,94.53,True
078000,텔코웨어,KOSPI,68,-14,66,11.44,1155,9240,12.0,00361488,CFS,38351279931.0,44852925328.0,3285832222.0,3375021568.0,3042871954.0,29814380209.0,112356689293.0,58918856669.0,29227055348.0,-14.5,-2.64,26.54,201.59,True
078520,에이블씨엔씨,KOSPI,614,94,111,22.13,2536,26014,12.0,00400857,CFS,179925708861.0,190411926930.0,21167469815.0,15862114497.0,6436231243.0,59491360354.0,96475358659.0,93114762604.0,30638564398.0,-5.51,33.45,61.66,303.91,True
078930,GS,KOSPI,68423,12586,12146,9.0,76638,92895,12.0,00500254,CFS,369270000000.0,679438000000.0,281610000000.0,590466000000.0,918375000000.0,339319000000.0,6529104000000.0,125144000000.0,221417000000.0,-45.65,-52.31,5.2,56.52,True
078935,GS우,KOSPI,0,0,0,0.0,975,1779,12.0,,,,,,,,,,,,,,,,
079160,CJ CGV,KOSPI,5734,87,-206,-27.9,7269,165582,12.0,00303873,CFS,660398550966.0,758764846967.0,-49495989546.0,-7601703137.0,8566900874.0,1556724745220.0,817961867066.0,256525212989.0,751062669551.0,-12.96,-551.12,190.32,34.15,False
079430,현대리바트,KOSPI,3559,11,22,0.59,1118,20114,12.0,00300548,CFS,1477292211832.0,1821458932483.0,14566969599.0,22878211179.0,-20611187077.0,349577735280.0,413435033557.0,398061054441.0,324690439019.0,-18.9,-36.33,84.55,122.6,False
079550,LIG디펜스앤에어로스페이스,KOSPI,11679,1711,1768,22.47,147840,22000,12.0,00503668,CFS,4289984583062.0,3258575047879.0,364519710718.0,241285746392.0,185312557044.0,6402820619153.0,1430099949880.0,5569792256728.0,6174005726673.0,31.65,51.07,447.72,90.21,True
079900,전진건설로봇,KOSPI,460,43,88,21.25,4370,14592,12.0,00372129,CFS,179786889426.0,165962987643.0,32256121653.0,31036656912.0,32920653826.0,55458147320.0,157189397640.0,146159422795.0,53206465517.0,8.33,3.93,35.28,274.7,True
079980,휴비스,KOSPI,2260,2,-37,-0.74,676,34500,12.0,00362238,CFS,691404856665.0,725112102656.0,16502910609.0,-40806753427.0,-70557521997.0,443980054976.0,210176853265.0,200755807711.0,353310150120.0,-4.65,140.44,211.24,56.82,False
081000,일진다이아,KOSPI,478,4,48,2.31,1195,14202,12.0,00508274,CFS,63423472712.0,60499900040.0,727343837.0,-1206750668.0,1429748511.0,38213856292.0,225295931768.0,152786484876.0,24852816436.0,4.83,160.27,16.96,614.77,False
081660,미스토홀딩스,KOSPI,12890,1937,1965,11.6,24422,53091,12.0,00195229,CFS,343428070877.0,162881860568.0,310736032033.0,137335580576.0,120446544889.0,223887772974.0,570581879964.0,183795582000.0,221375191100.0,110.84,126.26,39.24,83.02,True
082640,동양생명,KOSPI,11178,311,310,6.21,11907,156062,12.0,00117267,CFS,,,,,,33781287000000.0,1533971000000.0,,,,,2202.21,,
082740,한화엔진,KOSPI,3452,514,691,0.0,37050,83447,12.0,00361008,CFS,1371057336146.0,1202204707511.0,130066296100.0,71531721192.0,8728565174.0,1139591642125.0,556102899924.0,1031851253359.0,611225573877.0,14.05,81.83,204.92,168.82,True
083420,그린케미칼,KOSPI,3303,107,99,6.75,1068,24000,12.0,00454946,CFS,304057102221.0,330339365530.0,10149397773.0,10686734198.0,4952176367.0,77087465382.0,128267645103.0,83211012419.0,64054383300.0,-7.96,-5.03,60.1,129.91,True
084010,대한제강,KOSPI,3056,1,1,1.04,2498,34371,12.0,00113225,CFS,731269024453.0,796284829280.0,4004309390.0,10648168125.0,74431357117.0,141045103235.0,795907336500.0,257259154758.0,127190424586.0,-8.16,-62.39,17.72,202.26,True
084670,동양고속,KOSPI,306,6,-2,6.86,702,2895,12.0,00540641,CFS,125048046365.0,121544197481.0,5263068648.0,-1332290298.0,-162555752.0,102278701863.0,54550079616.0,14504200944.0,81458228736.0,2.88,495.04,187.5,17.81,False
084680,이월드,KOSPI,1085,-4,-227,-8.78,879,141806,12.0,00540605,CFS,88727496688.0,108453970504.0,-3177099947.0,-419841181.0,7922828646.0,190430900842.0,214845170134.0,27884766295.0,128392128572.0,-18.19,-656.74,88.64,21.72,False
084690,대상홀딩스,KOSPI,14259,781,636,-11.79,2581,36212,12.0,00539274,CFS,38067862308.0,44224713038.0,13007601613.0,20271869708.0,20799742310.0,137681641590.0,399873089952.0,36598182419.0,58275207314.0,-13.92,-35.83,34.43,62.8,True
084695,대상홀딩스우,KOSPI,0,0,0,0.0,104,913,12.0,,,,,,,,,,,,,,,,
084870,TBH글로벌,KOSPI,473,-9,-24,1.92,396,20458,12.0,00409672,CFS,171345414390.0,177314017986.0,2068487790.0,3662828795.0,8129709064.0,40086476524.0,60490083749.0,70903241939.0,33667517337.0,-3.37,-43.53,66.27,210.6,True
085310,엔케이,KOSPI,319,5,29,-0.9,593,7418,12.0,00172228,CFS,93350073189.0,84651809570.0,-5837693882.0,-5999911986.0,-3374916152.0,22152246912.0,157407642633.0,72833217392.0,21263405069.0,10.28,2.7,14.07,342.53,False
085620,미래에셋생명,KOSPI,27964,684,663,6.52,21534,135180,12.0,00112332,CFS,,,,,,30418680379437.0,2436501555669.0,,,,,1248.46,,
086280,현대글로비스,KOSPI,78127,5215,4451,17.34,142275,75000,12.0,00360595,CFS,22531796309981.0,21634734767760.0,1561298367521.0,1247707246758.0,1056520703312.0,6568161076762.0,8653413512153.0,7679498019657.0,4122178558353.0,4.15,25.13,75.9,186.3,True
086790,하나금융지주,KOSPI,290048,16536,17110,9.2,363811,274367,12.0,00547583,CFS,,,,,,7128543000000.0,19540805000000.0,,,,,36.48,,
088350,한화생명,KOSPI,99852,4808,4846,6.95,37694,868530,12.0,00113058,CFS,,,,,,113307806000000.0,12468776000000.0,,,,,908.73,,
088790,진도,KOSPI,442,11,11,0.84,299,12447,12.0,00557933,CFS,47608077683.0,44153009434.0,3983320538.0,1143805417.0,3761675112.0,28557292049.0,111548343484.0,78335399711.0,27783982165.0,7.83,248.25,25.6,281.94,True
089470,HDC현대EP,KOSPI,2549,78,92,8.82,1138,31900,12.0,00357935,CFS,793405658477.0,809305298241.0,35998248597.0,24203428653.0,25097103990.0,231512705063.0,262955144080.0,281577175321.0,208524091384.0,-1.96,48.73,88.04,135.03,True
089590,제주항공,KOSPI,5162,690,192,-23.05,3362,80640,12.0,00555874,CFS,1500109107562.0,1856276062641.0,-126006279594.0,60151712479.0,161782322095.0,2053690029629.0,254194851530.0,374278558795.0,1236115361014.0,-19.19,-309.48,807.92,30.28,False
089860,롯데렌탈,KOSPI,7309,836,415,8.54,13325,36309,12.0,00545716,CFS,2673809726794.0,2517081844378.0,287497141277.0,255735852229.0,288142112164.0,5373844012017.0,1309435551916.0,539489802402.0,2826075532880.0,6.23,12.42,410.39,19.09,True
090080,평화산업,KOSPI,1626,51,74,38.5,492,54902,12.0,00573579,CFS,618025594998.0,582589217842.0,13087035298.0,13475891081.0,10281179263.0,191632875934.0,61709948104.0,155396932839.0,164803148977.0,6.08,-2.89,310.54,94.29,True
090350,노루페인트,KOSPI,1762,79,93,4.87,1470,20000,12.0,00583442,CFS,656917054146.0,690764490068.0,14100891644.0,27198379119.0,25356015454.0,238323904789.0,363134250144.0,261997364742.0,170220037769.0,-4.9,-48.16,65.63,153.92,True
090355,노루페인트우,KOSPI,0,0,0,0.0,47,463,12.0,,,,,,,,,,,,,,,,
090370,메타랩스,KOSPI,304,5,-3,-13.2,285,27304,12.0,00442835,CFS,45149324913.0,11489041174.0,-2224185874.0,-1439515209.0,-3622157468.0,20000082696.0,73465558834.0,7822938388.0,19842690496.0,292.98,-54.51,27.22,39.42,False
090430,아모레퍼시픽,KOSPI,11358,1267,1527,4.34,70015,58492,12.0,00583424,CFS,2653725793231.0,2413786374578.0,212514854678.0,127952541064.0,82464573907.0,567972896763.0,5057271330084.0,1317972747968.0,473016877257.0,9.94,66.09,11.23,278.63,True
090435,아모레퍼시픽우,KOSPI,0,0,0,0.0,4175,10557,12.0,,,,,,,,,,,,,,,,
090460,비에이치,KOSPI,3716,107,370,11.25,5575,33711,12.0,00447609,CFS,349882710927.0,346403440277.0,6053424445.0,59627326326.0,17498271693.0,204503603644.0,450070502722.0,314291997032.0,122483677200.0,1.0,-89.85,45.44,256.6,True
091810,트리니티항공,KOSPI,6121,192,-169,-439.24,2930,510530,12.0,00671376,CFS,1798720004565.0,1537290236781.0,-269235092846.0,-14757311119.0,137709626989.0,1824901646949.0,41336858984.0,644054702543.0,873084920387.0,17.01,-1724.42,4414.71,73.77,False
092200,디아이씨,KOSPI,1652,28,32,-8.55,1582,38888,12.0,00112165,CFS,406814288213.0,462373864917.0,2295496587.0,16535601509.0,30113235667.0,370209517417.0,79670251024.0,137806242310.0,261336198755.0,-12.02,-86.12,464.68,52.73,True
092220,KEC,KOSPI,643,-48,-51,-8.74,1062,40152,12.0,00589127,CFS,219393654621.0,233026197232.0,-28298869101.0,-19111417841.0,-38597350903.0,161353185526.0,327051546041.0,168163714058.0,134131248336.0,-5.85,-48.07,49.34,125.37,False
092230,KPX홀딩스,KOSPI,3110,133,450,11.0,3468,4224,12.0,00587466,CFS,100960027441.0,115975236117.0,26534057967.0,20104758830.0,16775737289.0,21172171890.0,604219003749.0,178724042162.0,9397909089.0,-12.95,31.98,3.5,1901.74,True
092440,기신정기,KOSPI,1193,-37,-2,-0.31,551,29200,3.0,00106614,CFS,108912089975.0,120128473240.0,781463167.0,4693926073.0,8216556271.0,21440041944.0,227093213114.0,93496804611.0,10594592370.0,-9.34,-83.35,9.44,882.5,True
092780,DYP,KOSPI,1171,30,40,6.87,433,13168,12.0,00117726,CFS,374959053687.0,365357185123.0,3669548964.0,2629920002.0,6881999585.0,233776253737.0,104157552941.0,167055420712.0,158270702713.0,2.63,39.53,224.44,105.55,True
092790,넥스틸,KOSPI,1006,27,43,3.97,2839,26002,12.0,00220613,CFS,544671975941.0,552365337649.0,39435901206.0,61518303092.0,155925827910.0,222255563475.0,461788161420.0,284286063537.0,152592943271.0,-1.39,-35.9,48.13,186.3,True
093050,LF,KOSPI,4619,444,455,6.71,6593,29240,12.0,00593032,CFS,1140620103883.0,1205319857036.0,95820884043.0,65841950776.0,55197196451.0,255023636968.0,1680364191592.0,469904562100.0,167592601097.0,-5.37,45.53,15.18,280.39,True
093240,형지엘리트,KOSPI,1295,88,100,8.33,268,61390,6.0,00441243,CFS,164902130597.0,131848741012.0,7157033744.0,6313022590.0,2045693697.0,96523914087.0,87721902574.0,138566608200.0,80797324594.0,25.07,13.37,110.03,171.5,True
093370,후성,KOSPI,1414,93,-9,-1.38,11444,107255,12.0,00595191,CFS,272340048398.0,253172924876.0,13981280226.0,4146770024.0,-7492440626.0,301257604939.0,287311270855.0,104920659149.0,153576189980.0,7.57,237.16,104.85,68.32,False
094280,효성ITX,KOSPI,1303,34,31,20.45,1373,11558,12.0,00414850,CFS,518102833803.0,505444419782.0,18957975438.0,18735054740.0,19126449750.0,120219524525.0,75020126030.0,99670484551.0,96867691898.0,2.5,1.19,160.25,102.89,True
095570,AJ네트웍스,KOSPI,2872,219,115,7.07,1945,45252,12.0,00365387,CFS,698276540000.0,611678379000.0,75091665000.0,83151116000.0,81499613000.0,1240078934000.0,463049798000.0,278895707000.0,724205721000.0,14.16,-9.69,267.81,38.51,True
095720,웅진씽크빅,KOSPI,1796,-34,-51,-6.17,662,56827,12.0,00628189,CFS,574031404187.0,662231767246.0,-13076801169.0,10062484022.0,10843304161.0,238183421699.0,267594828119.0,257001205744.0,224918689858.0,-13.32,-229.96,89.01,114.26,False
096760,JW홀딩스,KOSPI,2432,515,516,27.69,2820,73924,12.0,00632304,CFS,93252637632.0,99509031134.0,25852324678.0,38907755417.0,15213915566.0,147853971193.0,195108901436.0,36688691324.0,124685147532.0,-6.29,-33.55,75.78,29.43,True
096770,SK이노베이션,KOSPI,242121,20832,13949,-9.04,196608,169052,12.0,00631518,CFS,4850904693000.0,1874893744000.0,2730034540000.0,493227201000.0,1235471758000.0,13305707013000.0,26408838529000.0,4018621150000.0,6068668083000.0,158.73,453.5,50.38,66.22,True
096775,SK이노베이션우,KOSPI,0,0,0,0.0,764,1248,12.0,,,,,,,,,,,,,,,,
097230,HJ중공업,KOSPI,5414,246,253,13.69,13092,90295,12.0,00633835,CFS,1998906000000.0,1885164000000.0,66804000000.0,7458000000.0,-108230000000.0,1781340000000.0,670036000000.0,1258557000000.0,1491064000000.0,6.03,795.74,265.86,84.41,False
097520,엠씨넥스,KOSPI,3035,114,164,12.14,3020,17401,12.0,00564562,CFS,964626721908.0,779770902610.0,32405364988.0,16739664415.0,11521977832.0,140200318450.0,330418548290.0,249917144927.0,136402454675.0,23.71,93.58,42.43,183.22,True
097950,CJ제일제당,KOSPI,71111,2381,1696,-6.6,28030,15054,12.0,00635134,CFS,7281140720000.0,7598277073000.0,185630662000.0,275834756000.0,283594955000.0,6058847352000.0,4553927380000.0,1733946303000.0,3717497905000.0,-4.17,-32.7,133.05,46.64,True
097955,CJ제일제당 우,KOSPI,0,0,0,0.0,1575,1327,12.0,,,,,,,,,,,,,,,,
100090,SK오션플랜트,KOSPI,1747,169,139,5.63,8390,62478,12.0,00480367,CFS,928915090551.0,626418503995.0,65686854180.0,23827815238.0,69757194658.0,264782024394.0,816949804589.0,223564258905.0,185939854602.0,48.29,175.67,32.41,120.23,True
100220,비상교육,KOSPI,1042,350,346,11.53,593,12996,12.0,00520887,CFS,265695040273.0,238269552424.0,20686649465.0,6044175882.0,-13450414975.0,198953672040.0,196291342244.0,152676277661.0,193773132121.0,11.51,242.26,101.36,78.79,False
100250,진양홀딩스,KOSPI,737,23,136,9.77,1881,63900,12.0,00646732,CFS,26340093112.0,15178429378.0,21133446111.0,10379701288.0,10647492883.0,28005358689.0,252597265693.0,86343848066.0,26984007502.0,73.54,103.6,11.09,319.98,True
100840,SNT에너지,KOSPI,1236,228,351,29.48,4901,20680,12.0,00648721,CFS,499146460507.0,262569502027.0,95537480608.0,20727708856.0,9714541283.0,182542309139.0,343598114926.0,360473988822.0,156155786078.0,90.1,360.92,53.13,230.84,True
101140,인바이오젠,KOSPI,70,-61,161,10.64,516,10044,12.0,00652423,CFS,6296747709.0,7041061562.0,-4332844227.0,-6093214907.0,-6151980412.0,2349878194.0,157643520598.0,5321380997.0,1861600876.0,-10.57,28.89,1.49,285.85,False
101530,해태제과식품,KOSPI,1577,107,87,7.49,1586,29116,12.0,00428321,CFS,597709502110.0,583795452430.0,37793620026.0,44804713776.0,42411836746.0,374032646060.0,292377655323.0,124199795984.0,212560297598.0,2.38,-15.65,127.93,58.43,True
102260,동성케미컬,KOSPI,2870,254,269,7.73,1755,50669,12.0,00679314,CFS,387065153130.0,387799173588.0,29630665340.0,14118343379.0,10019657186.0,208892658614.0,361048021210.0,128535347557.0,144517251210.0,-0.19,109.87,57.86,88.94,True
102460,이연제약,KOSPI,361,-68,-112,-17.66,1841,18586,12.0,00145598,CFS,145928626140.0,148299673635.0,-30406892439.0,544589334.0,3079282397.0,243979057931.0,223313084815.0,76046484347.0,143053665998.0,-1.6,-5683.45,109.25,53.16,False
103140,풍산,KOSPI,12709,902,1011,8.13,16758,28024,12.0,00684714,CFS,3849107225015.0,3502597156849.0,247154403114.0,314065814136.0,190309831177.0,1549263856244.0,2298131546597.0,2032909840832.0,1069275168246.0,9.89,-21.3,67.41,190.12,True
103590,일진전기,KOSPI,5061,508,426,21.03,28277,47685,12.0,00683469,CFS,2018227476000.0,1549553530000.0,153519190000.0,74861651000.0,57031257000.0,901872740000.0,576616814000.0,922254998000.0,799184061000.0,30.25,105.07,156.41,115.4,True
104700,한국철강,KOSPI,0,0,0,0.0,3364,36450,12.0,00687711,CFS,486605490510.0,600003866825.0,-38699180493.0,1813549115.0,86552278453.0,95937715408.0,770845640468.0,530660757954.0,57224748097.0,-18.9,-2233.89,12.45,927.33,False
105560,KB금융,KOSPI,306296,27276,26311,10.25,617156,354687,12.0,00688996,CFS,,,,,,5917904000000.0,24935236000000.0,,,,,23.73,,
105630,한세실업,KOSPI,4672,105,-6,6.21,3576,40000,12.0,00728638,CFS,1827932619764.0,1719024089082.0,93910597524.0,135527524524.0,143591449993.0,432857122989.0,744742292500.0,840767498518.0,410503059955.0,6.34,-30.71,58.12,204.81,True
105840,우진,KOSPI,372,50,53,7.02,2631,20197,12.0,00173944,CFS,71565813467.0,71859322689.0,9541265297.0,10942928282.0,10213626646.0,40760792914.0,174269978144.0,63702349152.0,17493511550.0,-0.41,-12.81,23.39,364.15,True
107590,미원홀딩스,KOSPI,1477,93,175,10.57,1238,2320,12.0,00706715,CFS,18740988445.0,18491383590.0,2388642201.0,3277954829.0,1855811131.0,83518698909.0,220895775825.0,3295839548.0,39190193688.0,1.35,-27.13,37.81,8.41,True
108320,LX세미콘,KOSPI,3888,206,154,4.41,6237,16264,12.0,00525934,CFS,1639070665791.0,1865621538499.0,105576873405.0,164116602794.0,126624244171.0,272116116732.0,1114156278998.0,1052636917544.0,239743138719.0,-12.14,-35.67,24.42,439.07,True
108670,LX하우시스,KOSPI,8147,459,385,-1.27,2820,8967,12.0,00759513,CFS,2642115000000.0,3091827000000.0,32831000000.0,78618000000.0,81636000000.0,1022419000000.0,701013000000.0,777048000000.0,645917000000.0,-14.55,-58.24,145.85,120.3,True
108675,LX하우시스우,KOSPI,0,0,0,0.0,167,1032,12.0,,,,,,,,,,,,,,,,
109070,주성코퍼레이션,KOSPI,176,-3,12,6.94,699,52810,12.0,00753643,CFS,83103986067.0,66807454484.0,2924063414.0,3515768646.0,-1142013329.0,12383999454.0,29077901411.0,33358019064.0,9693505426.0,24.39,-16.83,42.59,344.13,False
111110,호전실업,KOSPI,892,-14,15,6.72,593,9066,12.0,00226316,CFS,493314399143.0,435038893151.0,20764191094.0,25533922329.0,26663989827.0,116889000780.0,172012994512.0,177368909492.0,88504301755.0,13.4,-18.68,67.95,200.41,True
111380,동인기연,KOSPI,620,65,92,10.71,772,6128,12.0,00367710,CFS,235944946631.0,218394674686.0,30670484079.0,29906075010.0,28268690903.0,120954490016.0,160210431488.0,136609160316.0,84467760445.0,8.04,2.56,75.5,161.73,True
111770,영원무역,KOSPI,8958,1204,1892,13.88,38462,44311,12.0,00776820,CFS,2507415267630.0,2113886201401.0,272761382756.0,215101485285.0,227264793830.0,448084848664.0,2133141741447.0,878808237652.0,354062397202.0,18.62,26.81,21.01,248.21,True
112610,씨에스윈드,KOSPI,7111,743,541,-1.42,16320,42171,12.0,00670340,CFS,613558736508.0,535988571158.0,51361821034.0,51191893091.0,37613210470.0,536743645690.0,966492073566.0,323193601515.0,352952349977.0,14.47,0.33,55.54,91.57,True
114090,GKL,KOSPI,1107,181,193,10.83,5777,61855,12.0,00557508,CFS,422947217924.0,396390016167.0,52684973551.0,38322753217.0,50930654483.0,205965556303.0,438507033360.0,428162107309.0,175736868128.0,6.7,37.48,46.97,243.64,True
117580,대성에너지,KOSPI,7235,231,243,8.18,1914,27500,12.0,00787376,CFS,1017938768125.0,995129899139.0,30348573111.0,20476271942.0,20391954237.0,445537964210.0,345719204223.0,266841633142.0,265991812073.0,2.29,48.21,128.87,100.32,True
118000,메타케어,KOSPI,101,6,6,0.78,291,22055,12.0,00791209,CFS,21947303219.0,19905968525.0,2506544134.0,1353819925.0,1027017029.0,62696372951.0,120960022322.0,14407604677.0,46190722353.0,10.25,85.15,51.83,31.19,True
