종목코드,3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원)
002795,-14.49,-14.08,-15.25,1.3
00279K,-15.92,-7.62,-12.15,1.6
002810,14.67,37.21,38.62,4.6
002820,-5.75,-4.97,-23.24,0.5
002840,-11.97,-12.4,-21.63,6.5
002870,-11.27,-9.67,-14.24,3.2
002880,-15.33,-28.82,-36.69,11.3
002900,-13.3,-3.03,26.53,25.8
002920,-9.83,-18.7,-25.29,0.6
002960,5.79,20.05,11.32,18.2
002990,86.92,136.05,193.35,594.0
002995,23.96,16.19,58.42,7.0
003000,-48.76,-0.51,15.78,28.2
003010,-36.89,-17.04,-16.89,22.3
003030,-49.68,-19.72,-50.02,44.0
003060,-47.88,-72.97,-79.23,10.5
003070,-22.82,-0.89,-8.13,4.5
003075,-25.89,-16.85,-19.71,0.3
003080,-18.67,-20.43,-22.67,1.2
003090,-26.55,-26.07,-31.04,12.2
003120,-10.99,-4.18,-21.48,1.7
003160,-43.43,-30.74,45.19,91.3
003200,-22.6,-20.57,-5.75,11.9
003220,-29.83,-33.71,-42.07,15.1
003230,-12.47,-6.8,-13.98,677.0
003240,-27.5,9.86,-14.57,22.7
003280,-39.87,18.31,6.74,450.7
003300,-0.23,11.17,-3.74,3.6
003350,-24.61,-21.24,-37.9,11.8
003460,-13.88,9.75,5.56,3.8
003465,-9.54,13.65,12.61,0.2
003470,-14.07,10.53,16.15,157.3
003475,-5.17,4.98,11.49,4.4
003480,-22.51,-3.62,-12.64,3.4
003490,2.41,5.6,4.52,715.8
003495,-8.23,-8.03,-12.83,1.1
003520,-32.71,-36.36,-44.16,4.7
003530,-44.69,-21.51,-30.91,205.2
003535,-42.72,-36.1,-33.12,2.9
003540,-33.63,-12.41,-5.16,41.2
003545,-18.47,-10.9,-3.0,17.2
003547,-17.06,-9.43,1.0,5.5
003550,1.98,4.93,23.3,958.1
003555,-8.82,-11.46,0.63,22.8
003570,-39.97,-30.97,-33.08,32.5
003580,-44.88,-52.02,-53.13,4.7
003610,-1.85,-3.46,20.59,6.7
003620,-33.01,-20.57,-22.65,28.8
003650,17.18,14.24,22.36,4.4
003670,-43.81,-33.83,-4.71,671.3
003680,47.28,40.71,48.14,94.3
003690,12.86,25.79,26.47,65.7
003720,-45.45,9.01,54.53,95.8
003780,-28.97,-38.52,-27.19,13.4
003830,-8.2,-2.52,-17.83,0.4
003850,-18.88,-10.23,-7.72,11.9
003920,-17.18,-13.7,-32.15,5.5
003925,-19.64,-6.79,-22.56,1.5
003960,-9.23,-16.43,-28.4,2.6
004000,-23.41,1.84,11.22,35.7
004020,-34.71,-20.6,-26.2,331.7
004060,-51.94,-27.69,-29.64,8.5
004080,0.07,3.55,-2.51,0.9
004090,-25.65,-14.19,-13.89,58.5
004100,-35.03,5.11,0.21,23.8
004105,-35.82,-8.18,-12.44,2.4
004140,-38.5,-26.9,-45.98,9.6
004150,-6.87,-1.61,-8.13,23.1
004170,23.83,73.79,185.71,571.0
